Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bg
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Андски горски пъдпъдък
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Панамски горски пъдпъдък
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,Колумбийски горски пъдпъдък
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Венецуелски горски пъдпъдък
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Черногръд горски пъдпъдък
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Боливийски горски пъдпъдък
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Червен горски пъдпъдък
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Пъстър горски пъдпъдък
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Оранжеволик пъдпъдък
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Поен пъдпъдък
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Ацтекски пъдпъдък
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,Ацтекски пъдпъдък (ssp. sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Гватемалски пъдпъдък
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Удзунгванска яребица
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Качулата яребица
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Хималайска яребица
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Ръждивогуша яребица
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Черногуша яребица
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Червеноклюн франколин
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Капски франколин
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Наталски франколин
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Черновежд франколин
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Гвинейски франколин
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Люспест франколин
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Анголски франколин
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Жълтогуш франколин
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Танзанийски франколин
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Червеногуш франколин
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Червеноок франколин
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Червеноног франколин
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Албертински франколин
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Камерунски франколин
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Бенгуелски франколин
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Абисински франколин
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Еркелов франколин
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Джибутски франколин
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Черен франколин
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Индийски франколин
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Китайски франколин
Francolinus pondicerianus,Grey Francolin,,,FALSE,Сив франколин
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Блатен франколин
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Качулат франколин
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,Белогуш франколин
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,Централноафрикански франколин
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,Тъмен франколин
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,Пъстроврат франколин
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
