id,common name,scientific name
345,Spotless Crake,Zapornia tabuensis
520,Spotless Starling,Sturnus unicolor
433,Spotted Dove,Streptopelia chinensis
684,Spotted Nothura,Nothura maculosa
226,Spotted Owl,Strix occidentalis
685,Spotted Puffbird,Bucco tamatia
227,Spotted Sandpiper,Actitis macularius
541,Spotted Shag,Phalacrocorax punctatus
228,Spotted Towhee,Pipilo maculatus
229,Sprague's Pipit,Anthus spragueii
230,Squacco Heron,Ardeola ralloides
686,Squirrel Cuckoo,Piaya cayana
434,Sri Lanka Blue-Magpie,Urocissa ornata
435,Sri Lanka Frogmouth,Batrachostomus moniliger
231,Steller's Jay,Cyanocitta stelleri
469,Steppe Eagle,Aquila nipalensis
542,Stitchbird,Notiomystis cincta
436,Stork-Billed Kingfisher,Pelargopsis capensis
687,Strange-Tailed Tyrant,Alectrurus risora
346,Stubble Quail,Coturnix pectoralis
347,Sulphur-Crested Cockatoo,Cacatua galerita
470,Sulu Hornbill,Anthracoceros montani
688,Sun Parakeet,Aratinga solstitialis
689,Sunbittern,Eurypyga helias
690,Sungrebe,Heliornis fulica
348,Superb Lyrebird,Menura novaehollandiae
594,Surfbird,Calidris virgata
232,Swainson's Hawk,Buteo swainsoni
471,Taiwan Blue-Magpie,Urocissa caerulea
349,Tawny Frogmouth,Podargus strigoides
566,Tawny Owl,Strix aluco
233,Thekla's Lark,Galerida theklae
691,Titicaca Grebe,Rollandia microptera
692,Toco Toucan,Ramphastos toco
543,Tomtit,Petroica macrocephala
521,Tree Pipit,Anthus trivialis
234,Tree Swallow,Tachycineta bicolor
693,Tropical Kingbird,Tyrannus melancholicus
694,Tropical Parula,Setophaga pitiayumi
695,Tropical Royal Flycatcher,Onychorhynchus coronatus
437,Trumpeter Finch,Bucanetes githagineus
235,Trumpeter Swan,Cygnus buccinator
496,Tufted Puffin,Fratercula cirrhata
236,Tufted Titmouse,Baeolophus bicolor
567,Tundra Swan,Cygnus columbianus
237,Turkey Vulture,Cathartes aura
696,Turquoise-Browed Motmot,Eumomota superciliosa
438,Twite,Linaria flavirostris
350,Tūī,Prosthemadera novaeseelandiae
697,Ultramarine Grosbeak,Cyanoloxia brissonii
698,Vampire Ground-Finch,Geospiza septentrionalis
