Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ru
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Намибийский франколин
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Двухшпорный франколин
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Желтоклювый франколин
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Саванный франколин
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Эфиопский франколин
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Шлемоносная цесарка
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Белогрудая цесарка
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Чёрная цесарка
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Грифовая цесарка
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Хохлатая цесарка
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Скальный сикипи
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Итурийский сикипи
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Полосатый перепел
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Горный перепел
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Виргинский перепел
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Юкатанский перепел
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,Хохлатый перепел
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Чешуйчатый перепел
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Элегантный перепел
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Шлемоносный перепел
Callipepla californica,California Quail,calqua,111018,TRUE,Калифорнийский перепел
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Бородатый лесной перепел
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Длиннохвостый лесной перепел
