Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bn,bn_in
Tchagra tchagra,Southern Tchagra,soutch1,203938451,FALSE,,
Tchagra senegalus,Black-crowned Tchagra,bkctch1,8946,FALSE,,
Nilaus afer,Brubru,brubru1,8938,FALSE,,
Chlorophoenus kupeensis,Mount Kupe Bush-shrike,,,FALSE,,
Chlorophoenus multicolor,Many-coloured Bush-shrike,,,FALSE,,
Chlorophoenus nigrifrons,Black-fronted Bush-shrike,,,FALSE,,
Chlorophoenus olivaceus,Olive Bush-shrike,,,FALSE,,
Chlorophoenus bocagei,Bocage's Bush-shrike,,,FALSE,,
Chlorophoenus sulfureopectus,Orange-breasted Bush-shrike,,,FALSE,,
Laniarius leucorhynchus,Lowland Sooty Boubou,soobou1,93963,FALSE,,
Laniarius poensis,Mountain Sooty Boubou,mosbou1,212595,FALSE,,
Laniarius holomelas,Albertine Sooty Boubou,mosbou4,1564,FALSE,,
Laniarius fuelleborni,Fülleborn's Boubou,fuebou1,101276,FALSE,,
Laniarius funebris,Slate-coloured Boubou,slcbou1,37212,FALSE,,
Laniarius luehderi,Lühder's Bush-shrike,luebus1,1414,FALSE,,
Laniarius brauni,Braun's Bush-shrike,brabus1,505283231,FALSE,,
Laniarius amboimensis,Gabela Bush-shrike,gabbus1,638325951,FALSE,,
Laniarius ruficeps,Red-naped Bush-shrike,renbus1,328326871,FALSE,,
Laniarius aethiopicus,Tropical Boubou,trobou2,31281031,FALSE,,
Laniarius nigerrimus,Manda Boubou,sombou1,652072156,FALSE,,
Laniarius sublacteus,Zanzibar Boubou,zanbou1,638952128,FALSE,,
Laniarius ferrugineus,Southern Boubou,soubou1,203948551,FALSE,,
Laniarius bicolor,Swamp Boubou,gabbou1,1595,FALSE,,
Laniarius turatii,Turati's Boubou,turbou1,527046401,FALSE,,
Laniarius barbarus,Yellow-crowned Gonolek,comgon1,203945991,FALSE,,
Laniarius erythrogaster,Black-headed Gonolek,blhgon1,203915271,FALSE,,
Laniarius atrococcineus,Crimson-breasted Gonolek,crbgon1,30218,FALSE,,
Laniarius mufumbiri,Papyrus Gonolek,papgon1,204006701,FALSE,,
