Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pt,pt_ao,pt_br,pt_pt
Spizella wortheni,Worthen's Sparrow,worspa,261599511,FALSE,tico-tico-mexicano,tico-tico-mexicano,tico-tico-mexicano,tico-tico-do-planalto
Amphispiza bilineata,Black-throated Sparrow,bktspa,358659611,FALSE,Escrevedeira-de-garganta-preta,Escrevedeira-de-garganta-preta,Escrevedeira-de-garganta-preta,tico-tico-de-garganta-preta
Amphispiza quinquestriata,Five-striped Sparrow,fisspa,265661561,FALSE,tico-tico-de-cinco-riscas,tico-tico-de-cinco-riscas,tico-tico-de-cinco-riscas,tico-tico-de-cinco-listas
Chondestes grammacus,Lark Sparrow,larspa,104755291,FALSE,Escrevedeira-arlequim,Escrevedeira-arlequim,Escrevedeira-arlequim,tico-tico-arlequim
Calamospiza melanocorys,Lark Bunting,larbun,516637,FALSE,Escrevedeira-preta,Escrevedeira-preta,Escrevedeira-preta,tico-tico-cotovia
Rhynchospiza stolzmanni,Tumbes Sparrow,tumspa1,13346,FALSE,tico-tico-de-tumbes,tico-tico-de-tumbes,tico-tico-de-tumbes,tico-tico-de-tumbes
Rhynchospiza strigiceps,Stripe-capped Sparrow,stcspa3,644461114,FALSE,,,,tico-tico-dos-yungas/de-coroa-riscada
Peucaea sumichrasti,Cinnamon-tailed Sparrow,citspa1,157693241,FALSE,tico-tico-de-cauda-canela,tico-tico-de-cauda-canela,tico-tico-de-cauda-canela,tico-tico-de-cauda-canela
Peucaea carpalis,Rufous-winged Sparrow,ruwspa,109071,FALSE,tico-tico-de-dragonas,tico-tico-de-dragonas,tico-tico-de-dragonas,tico-tico-d'asa-ruiva
Peucaea ruficauda,Stripe-headed Sparrow,sthspa1,316215191,FALSE,tico-tico-de-cabeça-listrada,tico-tico-de-cabeça-listrada,tico-tico-de-cabeça-listrada,tico-tico-de-cabeça-listada
Peucaea humeralis,Black-chested Sparrow,blcspa1,252641181,FALSE,tico-tico-de-peito-preto,tico-tico-de-peito-preto,tico-tico-de-peito-preto,tico-tico-de-peito-preto
Peucaea mystacalis,Bridled Sparrow,brispa1,340193451,FALSE,tico-tico-de-queixo-preto,tico-tico-de-queixo-preto,tico-tico-de-queixo-preto,tico-tico-de-bigodes
Peucaea botterii,Botteri's Sparrow,botspa,382009931,FALSE,tico-tico-mestiço,tico-tico-mestiço,tico-tico-mestiço,tico-tico-de-botteri
Peucaea cassinii,Cassin's Sparrow,casspa,50231,TRUE,tico-tico-dos-apaches,tico-tico-dos-apaches,tico-tico-dos-apaches,tico-tico-de-cassin
Peucaea aestivalis,Bachman's Sparrow,bacspa,306044,FALSE,tico-tico-dos-pinhais,tico-tico-dos-pinhais,tico-tico-dos-pinhais,tico-tico-de-bachman
Arremonops rufivirgatus,Olive Sparrow,olispa,175004061,FALSE,tico-tico-oliváceo,tico-tico-oliváceo,tico-tico-oliváceo,tico-tico-azeitona
Arremonops chloronotus,Green-backed Sparrow,grbspa1,160224941,FALSE,tico-tico-de-dorso-verde,tico-tico-de-dorso-verde,tico-tico-de-dorso-verde,tico-tico-de-costas-verdes
Arremonops tocuyensis,Tocuyo Sparrow,tocspa1,365936311,FALSE,tico-tico-do-tocuyo,tico-tico-do-tocuyo,tico-tico-do-tocuyo,tico-tico-do-tocuyo
Arremonops conirostris,Black-striped Sparrow,blsspa1,15149,FALSE,Tico-tico-cantor,Tico-tico-cantor,tico-tico-cantor,tico-tico-de-listas-pretas
Ammodramus savannarum,Grasshopper Sparrow,graspa,619741709,TRUE,Escrevedeira-dos-gafanhotos,Escrevedeira-dos-gafanhotos,Escrevedeira-dos-gafanhotos,tico-tico-gafanhoto
Ammodramus humeralis,Grassland Sparrow,graspa1,312633301,TRUE,,,tico-tico-do-campo/cigarrinha-do-campo,tico-tico-campestre/tico-tico-de-sobrancelha-amarela
Ammodramus aurifrons,Yellow-browed Sparrow,yebspa1,67527,FALSE,cigarrinha-do-campo,cigarrinha-do-campo,cigarrinha-do-campo,tico-tico-de-sobrancelha-amarela
Oreothraupis arremonops,Tanager Finch,tanfin1,474671331,FALSE,toqui-avermelhado,toqui-avermelhado,toqui-avermelhado,tico-tico-tangará
Chlorospingus flavopectus,Common Bush-tanager,cobtan1,216416,FALSE,,,,
Chlorospingus tacarcunae,Tacarcuna Bush-tanager,tabtan1,137722181,FALSE,saíra-do-tacarcuna,saíra-do-tacarcuna,saíra-do-tacarcuna,clorospingo-do-tacarcuna
Chlorospingus inornatus,Pirre Bush-tanager,pibtan1,616447132,FALSE,saíra-do-pirre,saíra-do-pirre,saíra-do-pirre,clorospingo-do-pirre
Chlorospingus semifuscus,Dusky Bush-tanager,dubtan1,84279,FALSE,saíra-sombria,saíra-sombria,saíra-sombria,clorospingo-escuro
