Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,es,es_ar,es_cr,es_ec,es_es,es_mx,es_pa,es_pe,es_ve
Anas aucklandica,Brown Teal,auitea1,631228261,FALSE,Cerceta maorí,Cerceta maorí,Cerceta maorí,Cerceta maorí,Cerceta Maorí,Cerceta maorí,Cerceta maorí,Cerceta maorí,Cerceta maorí
Anas nesiotis,Campbell Teal,caitea1,191470871,FALSE,Cerceta de Campbell,Cerceta de Campbell,Cerceta de Campbell,Cerceta de Campbell,Cerceta de Campbell,Cerceta de Campbell,Cerceta de Campbell,Cerceta de Campbell,Cerceta de Campbell
Anas bernieri,Madagascar Teal,bertea1,502014051,FALSE,Cerceta Malgache,Cerceta Malgache,Cerceta Malgache,Cerceta Malgache,Cerceta Malgache,Cerceta Malgache,Cerceta Malgache,Cerceta Malgache,Cerceta Malgache
Anas capensis,Cape Teal,captea1,609054550,FALSE,Cerceta de El Cabo,Cerceta de El Cabo,Cerceta de El Cabo,Cerceta de El Cabo,Cerceta de El Cabo,Cerceta de El Cabo,Cerceta de El Cabo,Cerceta de El Cabo,Cerceta de El Cabo
Anas bahamensis,White-cheeked Pintail,whcpin,89697731,FALSE,Ánade gargantillo,Pato Gargantilla,Pato Gargantilla,Ánade Cariblanco,Ánade Gargantillo,Ánade gargantillo,Ánade Gargantillo,Pato Gargantillo,Pato Malibú
Anas erythrorhyncha,Red-billed Teal,rebduc1,502035921,FALSE,Ánade piquirrojo,Ánade piquirrojo,Ánade piquirrojo,Ánade piquirrojo,Ánade Piquirrojo,Ánade piquirrojo,Ánade piquirrojo,Ánade piquirrojo,Ánade piquirrojo
Anas acuta,Northern Pintail,norpin,386237831,TRUE,Ánade Rabudo,Ánade Rabudo,Pato Rabudo,Ánade Norteño,Ánade rabudo,Pato Golondrino,Ánade Rabudo,Ánade Rabudo,Pato Rabudo
Anas eatoni,Southern Pintail,eatpin1,,FALSE,Ánade Subantártico,Ánade Subantártico,Ánade Subantártico,Ánade Subantártico,Ánade subantártico,Ánade Subantártico,Ánade Subantártico,Ánade Subantártico,Ánade Subantártico
†Anas marecula,Amsterdam Duck,amsduc1,,FALSE,,,,,,,,,
Anas georgica,Yellow-billed Pintail,yebpin1,475879051,FALSE,Ánade maicero,Pato Maicero,Ánade maicero,Ánade Piquiamarillo,Ánade Maicero,Ánade maicero,Ánade maicero,Pato Jergón,Ánade maicero
Anas crecca,Common Teal,gnwtea,397241321,TRUE,Cerceta Común,Cerceta Común,Cerceta Aliverde,Cerceta Aliverde,Cerceta Común,Cerceta Alas Verdes,Cerceta Aliverde,Cerceta Común,Barraquete Aliverde
A. c. carolinensis,Green-winged Teal,gnwtea,397241321,FALSE,Cerceta Común (Americana),Cerceta Común (Americana),Cerceta Común (Americana),Cerceta Común (Americana),Cerceta común (Americana),Cerceta Común (Americana),Cerceta Común (Americana),Cerceta Común (Americana),Cerceta Común (Americana)
Anas andium,Andean Teal,spetea3,58953,FALSE,Cerceta andina,Cerceta andina,Cerceta andina,Cerceta Andina,Cerceta Andina,Cerceta andina,Cerceta andina,Pato Paramuno,Pato Serrano
Anas flavirostris,Speckled Teal,yebtea1,463864771,FALSE,Cerceta Andina/Barcina,Pato Barcino,Cerceta Andina/Barcina,Cerceta Piquiamarilla,Cerceta andina/barcina,Cerceta Andina/Barcina,Cerceta Andina/Barcina,Pato Barcino,Cerceta Andina/Barcina
PODICIPEDIFORMES,,,,FALSE,,,,,,,,,
PODICIPEDIDAE,Grebes,,,FALSE,,,,,,,,,
Tachybaptus ruficollis,Little Grebe,litgre1,109605121,TRUE,Zampullín Común,Zampullín Común,Zampullín Común,Zampullín Común,Zampullín común,Zampullín Común,Zampullín Común,Zampullín Común,Zampullín Común
†Tachybaptus rufolavatus,Alaotra Grebe,alagre1,,FALSE,,,,,,,,,
