Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,es,es_ar,es_cr,es_ec,es_es,es_mx,es_pa,es_pe,es_ve
Icterus spurius,Orchard Oriole,orcori,94445,FALSE,Turpial Castaño,Turpial Castaño,Bolsero Castaño,Turpial Castaño,Turpial castaño,Calandria Castaña,Bolsero Castaño,Turpial Castaño,Turpial de Huertos
Icterus fuertesi,Fuertes's Oriole,,,FALSE,Turpial de Fuertes,Turpial de Fuertes,Turpial de Fuertes,Turpial de Fuertes,Turpial de Fuertes,Turpial de Fuertes,Turpial de Fuertes,Turpial de Fuertes,Turpial de Fuertes
Icterus northropi,Bahama Oriole,graori3,32873421,FALSE,Turpial de las Bahamas,Turpial de las Bahamas,Turpial de las Bahamas,Turpial de las Bahamas,Turpial de las Bahamas,Turpial de las Bahamas,Turpial de las Bahamas,Turpial de las Bahamas,Turpial de las Bahamas
Icterus melanopsis,Cuban Oriole,graori2,59792041,FALSE,Turpial Cubano,Turpial Cubano,Turpial Cubano,Turpial Cubano,Turpial Cubano,Turpial Cubano,Turpial Cubano,Turpial Cubano,Turpial Cubano
Icterus bonana,Martinique Oriole,marori1,587891081,FALSE,Turpial de Martinica,Turpial de Martinica,Turpial de Martinica,Turpial de Martinica,Turpial de Martinica,Turpial de Martinica,Turpial de Martinica,Turpial de Martinica,Turpial de Martinica
Icterus portoricensis,Puerto Rican Oriole,graori4,188058,FALSE,Turpial Puertorriqueño,Turpial Puertorriqueño,Turpial Puertorriqueño,Turpial Puertorriqueño,Turpial Puertorriqueño,Turpial Puertorriqueño,Turpial Puertorriqueño,Turpial Puertorriqueño,Turpial Puertorriqueño
Icterus oberi,Montserrat Oriole,monori1,575343211,FALSE,Turpial de Montserrat,Turpial de Montserrat,Turpial de Montserrat,Turpial de Montserrat,Turpial de Montserrat,Turpial de Montserrat,Turpial de Montserrat,Turpial de Montserrat,Turpial de Montserrat
Icterus dominicensis,Hispaniolan Oriole,graori1,180729,FALSE,Turpial de la Española,Turpial de la Española,Turpial de la Española,Turpial de la Española,Turpial de La Española,Turpial de la Española,Turpial de la Española,Turpial de la Española,Turpial de la Española
Icterus laudabilis,St Lucia Oriole,stlori1,473914711,FALSE,Turpial de Santa Lucía,Turpial de Santa Lucía,Turpial de Santa Lucía,Turpial de Santa Lucía,Turpial de Santa Lucía,Turpial de Santa Lucía,Turpial de Santa Lucía,Turpial de Santa Lucía,Turpial de Santa Lucía
Icterus auricapillus,Orange-crowned Oriole,orcori1,60783,FALSE,Turpial Coroninaranja,Turpial Coroninaranja,Turpial Coroninaranja,Turpial Coroninaranja,Turpial Coroninaranja,Turpial Coroninaranja,Bolsero Coroninaranja,Turpial Coroninaranja,Gonzalito Real
Icterus chrysocephalus,Moriche Oriole,,,FALSE,Turpial moriche,Turpial moriche,Turpial moriche,Turpial moriche,Turpial moriche,Turpial moriche,Turpial moriche,Turpial moriche,Turpial moriche
Icterus cayanensis,Epaulet Oriole,epaori1,388490441,FALSE,Turpial Boyerito,Boyerito Alas Canela,Turpial Boyerito,Bolsero Hombriamarillo,Turpial boyerito,Turpial Boyerito,Turpial Boyerito,Bolsero de Hombro Pintado,Moriche
Icterus pyrrhopterus,Variable Oriole,epaori4,617935732,FALSE,Turpial Variable,Boyerito,Turpial Variable,Turpial Variable,Turpial Variable,Turpial Variable,Turpial Variable,Turpial Variable,Turpial Variable
Nesopsar nigerrimus,Jamaican Blackbird,jambla1,565210801,FALSE,Zanate Jamaicano,Zanate Jamaicano,Zanate Jamaicano,Zanate Jamaicano,Zanate Jamaicano,Zanate Jamaicano,Zanate Jamaicano,Zanate Jamaicano,Zanate Jamaicano
Agelaius humeralis,Tawny-shouldered Blackbird,tasbla,180051981,FALSE,Sargento Humeral,Sargento Humeral,Sargento Humeral,Sargento Humeral,Sargento Humeral,Sargento Humeral,Sargento Humeral,Sargento Humeral,Sargento Humeral
Agelaius xanthomus,Yellow-shouldered Blackbird,yesbla1,637497067,FALSE,Sargento Puertorriqueño,Sargento Puertorriqueño,Sargento Puertorriqueño,Sargento Puertorriqueño,Sargento Puertorriqueño,Sargento Puertorriqueño,Sargento Puertorriqueño,Sargento Puertorriqueño,Sargento Puertorriqueño
Agelaius tricolor,Tricolored Blackbird,tribla,50919891,FALSE,Sargento Tricolor,Sargento Tricolor,Sargento Tricolor,Sargento Tricolor,Sargento Tricolor,Tordo Tricolor,Sargento Tricolor,Sargento Tricolor,Sargento Tricolor
Agelaius phoeniceus,Red-winged Blackbird,rewbla,110263341,TRUE,Sargento alirrojo,Sargento alirrojo,Tordo Sargento,Sargento alirrojo,Sargento alirrojo,Tordo Sargento,Tordo Alirrojo,Sargento alirrojo,Sargento alirrojo
Agelaius assimilis,Red-shouldered Blackbird,resbla1,188772041,FALSE,Sargento Cubano,Sargento Cubano,Sargento Cubano,Sargento Cubano,Sargento Cubano,Sargento Cubano,Sargento Cubano,Sargento Cubano,Sargento Cubano
Molothrus rufoaxillaris,Screaming Cowbird,scrcow1,615096458,FALSE,Tordo Chillón,Tordo Pico Corto,Tordo Chillón,Tordo Chillón,Tordo Chillón,Tordo Chillón,Tordo Chillón,Tordo Chillón,Tordo Chillón
Molothrus oryzivorus,Giant Cowbird,giacow,203694691,FALSE,Tordo Gigante,Tordo Gigante,Vaquero Grande,Vaquero Gigante,Tordo Gigante,Tordo Gigante,Vaquero Gigante,Tordo Gigante,Tordo Pirata
Molothrus bonariensis,Shiny Cowbird,shicow,12599,TRUE,Tordo Renegrido,Tordo Renegrido,Vaquero Mirlo,Vaquero Brilloso,Tordo Renegrido,Tordo Sudamericano,Vaquero Brillante,Tordo Brilloso,Tordo Mirlo
Molothrus ater,Brown-headed Cowbird,bnhcow,148572321,TRUE,Tordo cabecipardo,Tordo cabecipardo,Tordo cabecipardo,Tordo cabecipardo,Tordo Cabecipardo,Tordo Cabeza Café,Vaquero Cabecipardo,Tordo cabecipardo,Tordo cabecipardo
Molothrus aeneus,Bronzed Cowbird,brocow,115684131,TRUE,Tordo ojirrojo,Tordo ojirrojo,Vaquero Ojirrojo,Tordo ojirrojo,Tordo ojirrojo,Tordo Ojos Rojos,Vaquero Ojirrojo,Tordo ojirrojo,Tordo ojirrojo
Molothrus armenti,Bronze-brown Cowbird,,,FALSE,Tordo chico,Tordo chico,Tordo chico,Tordo chico,Tordo chico,Tordo chico,Tordo chico,Tordo chico,Tordo chico
Dives dives,Melodious Blackbird,melbla1,63910791,FALSE,Zanate Cantor,Zanate Cantor,Tordo Cantor,Zanate Cantor,Zanate cantor,Tordo Cantor,Tordo Melódico,Zanate Cantor,Zanate Cantor
Dives warczewiczi,Scrub Blackbird,scrbla1,81148,FALSE,Zanate Matorralero,Chivillo,Zanate Matorralero,Negro Matorralero,Zanate matorralero,Zanate Matorralero,Zanate Matorralero,Tordo de Matorral,Zanate Matorralero
Ptiloxena atroviolacea,Cuban Blackbird,cubbla,203887231,FALSE,Zanate Cubano,Zanate Cubano,Zanate Cubano,Zanate Cubano,Zanate Cubano,Zanate Cubano,Zanate Cubano,Zanate Cubano,Zanate Cubano
Euphagus carolinus,Rusty Blackbird,rusbla,206450,TRUE,Zanate Canadiense,Zanate Canadiense,Zanate Canadiense,Zanate Canadiense,Zanate Canadiense,Tordo Canadiense,Zanate Canadiense,Zanate Canadiense,Zanate Canadiense
Euphagus cyanocephalus,Brewer's Blackbird,brebla,246338631,TRUE,Zanate de Brewer,Zanate de Brewer,Zanate de Brewer,Zanate de Brewer,Zanate de Brewer,Tordo Ojos Amarillos,Zanate de Brewer,Zanate de Brewer,Zanate de Brewer
Quiscalus quiscula,Common Grackle,comgra,133330,TRUE,Zanate común,Zanate común,Zanate común,Zanate común,Zanate Común,Zanate Norteño,Zanate común,Zanate común,Zanate común
Q. q. versicolor,Bronzed Grackle,,,FALSE,,,,,,,,,
Quiscalus lugubris,Carib Grackle,cargra1,61234,FALSE,Zanate Caribeño,Zanate Caribeño,Zanate Caribeño,Clarinero del Caribe,Zanate Caribeño,Zanate Caribeño,Tordo Caribe,Zanate Caribeño,Tordito
Quiscalus nicaraguensis,Nicaraguan Grackle,nicgra1,649401153,FALSE,Zanate Nicaragüense,Zanate Nicaragüense,Zanate de Laguna,Zanate Nicaragüense,Zanate Nicaragüense,Zanate Nicaragüense,Zanate Nicaragüense,Zanate Nicaragüense,Zanate Nicaragüense
Quiscalus niger,Greater Antillean Grackle,gragra1,203888921,FALSE,Zanate Antillano,Zanate Antillano,Zanate Antillano,Zanate Antillano,Zanate Antillano,Zanate Antillano,Zanate Antillano,Zanate Antillano,Zanate Antillano
Quiscalus major,Boat-tailed Grackle,botgra,73914,TRUE,Zanate Marismeño/Mexicano,Zanate Marismeño/Mexicano,Zanate Marismeño/Mexicano,Zanate Marismeño/Mexicano,Zanate marismeño/mexicano,Zanate Marismeño/Mexicano,Zanate Marismeño/Mexicano,Zanate Marismeño/Mexicano,Zanate Marismeño/Mexicano
Quiscalus mexicanus,Great-tailed Grackle,grtgra,614993910,TRUE,Zanate Marismeño/Mexicano,Zanate Marismeño/Mexicano,Zanate Grande,Clarinero Coligrande,Zanate marismeño/mexicano,Zanate Mayor,Tordo Coligrande,Clarinero de Cola Grande,Galandra
†Quiscalus palustris,Slender-billed Grackle,slbgra1,,FALSE,,,,,,,,,
Lampropsar tanagrinus,Velvet-fronted Grackle,vefgra1,29251,FALSE,Chango Terciopelo,Chango Terciopelo,Chango Terciopelo,Clarinero Frentiafelpado,Chango Terciopelo,Chango Terciopelo,Chango Terciopelo,Clarinero de Frente Aterciopelada,Tordo Frente Aterciopelada
Hypopyrrhus pyrohypogaster,Red-bellied Grackle,rebgra1,165954,FALSE,Chango Ventrirrojo,Chango Ventrirrojo,Chango Ventrirrojo,Chango Ventrirrojo,Chango Ventrirrojo,Chango Ventrirrojo,Chango Ventrirrojo,Chango Ventrirrojo,Chango Ventrirrojo
Gymnomystax mexicanus,Oriole Blackbird,oribla1,204023301,FALSE,Chango Oriolino,Chango Oriolino,Chango Oriolino,Negro Bolsero,Chango Oriolino,Chango Oriolino,Chango Oriolino,Tordo Oriol,Tordo Maicero
Macroagelaius subalaris,Mountain Grackle,mougra1,324501961,FALSE,Chango Colombiano,Chango Colombiano,Chango Colombiano,Chango Colombiano,Chango colombiano,Chango Colombiano,Chango Colombiano,Chango Colombiano,Chango Colombiano
Macroagelaius imthurni,Golden-tufted Grackle,gotgra1,203952941,FALSE,Chango de Tepuí,Chango de Tepuí,Chango de Tepuí,Chango de Tepuí,Chango de tepuí,Chango de Tepuí,Chango de Tepuí,Chango de Tepuí,Moriche de los Tepuyes
Amblyramphus holosericeus,Scarlet-headed Blackbird,schbla1,203917431,FALSE,Federal,Federal,Federal,Federal,Federal,Federal,Federal,Federal,Federal
Curaeus curaeus,Austral Blackbird,ausbla1,623792400,FALSE,Tordo Patagón,Tordo Patagónico,Tordo Patagón,Tordo Patagón,Tordo Patagón,Tordo Patagón,Tordo Patagón,Tordo Patagón,Tordo Patagón
Curaeus forbesi,Forbes's Blackbird,forbla1,114846,FALSE,Chango de Forbes,Chango de Forbes,Chango de Forbes,Chango de Forbes,Chango de Forbes,Chango de Forbes,Chango de Forbes,Chango de Forbes,Chango de Forbes
Gnorimopsar chopi,Chopi Blackbird,chobla1,132753,FALSE,Chopí,Chopí,Chopí,Chopí,Chopí,Chopí,Chopí,Tordo Chopí,Chopí
Agelaioides badius,Greyish Baywing,bawcow4,161071901,FALSE,Tordo Músico/de Spix,Tordo Músico,Tordo Músico/de Spix,Tordo Músico/de Spix,Tordo músico/de Spix,Tordo Músico/de Spix,Tordo Músico/de Spix,Tordo Músico/de Spix,Tordo Músico/de Spix
Agelaioides fringillarius,Pale Baywing,bawcow3,54954,FALSE,Tordo de Spix,Tordo de Caatinga,Tordo de Spix,Tordo de Spix,Tordo de Spix,Tordo de Spix,Tordo de Spix,Tordo de Spix,Tordo de Spix
Oreopsar bolivianus,Bolivian Blackbird,bolbla1,633602681,FALSE,Tordo Boliviano,Tordo Boliviano,Tordo Boliviano,Tordo Boliviano,Tordo Boliviano,Tordo Boliviano,Tordo Boliviano,Tordo Boliviano,Tordo Boliviano
Agelasticus thilius,Yellow-winged Blackbird,yewbla2,203892681,FALSE,Varillero Aliamarillo,Varillero Ala Amarilla,Varillero Aliamarillo,Varillero Aliamarillo,Varillero Aliamarillo,Varillero Aliamarillo,Varillero Aliamarillo,Tordo de Ala Amarilla,Varillero Aliamarillo
Agelasticus cyanopus,Unicolored Blackbird,unibla2,635626852,FALSE,Varillero Negro,Varillero Negro,Varillero Negro,Varillero Negro,Varillero Negro,Varillero Negro,Varillero Negro,Tordo Unicolor,Varillero Negro
Agelasticus xanthophthalmus,Pale-eyed Blackbird,paebla2,13309,FALSE,Varillero Ojipálido,Varillero Ojipálido,Varillero Ojipálido,Negro Ojipálido,Varillero Ojipálido,Varillero Ojipálido,Varillero Ojipálido,Tordo de Ojo Pálido,Varillero Ojipálido
Chrysomus icterocephalus,Yellow-hooded Blackbird,yehbla2,61053,FALSE,Varillero Capuchino,Varillero Capuchino,Varillero Capuchino,Tordo Capuchiamarillo,Varillero Capuchino,Varillero Capuchino,Tordo Capuchiamarillo,Tordo de Capucha Amarilla,Turpial de Agua
Chrysomus ruficapillus,Chestnut-capped Blackbird,chcbla2,119424701,FALSE,Varillero Congo,Varillero Congo,Varillero Congo,Varillero Congo,Varillero Congo,Varillero Congo,Varillero Congo,Varillero Congo,Varillero Congo
Xanthopsar flavus,Saffron-cowled Blackbird,sacbla2,135156051,FALSE,Tordo Amarillo,Tordo Amarillo,Tordo Amarillo,Tordo Amarillo,Tordo Amarillo,Tordo Amarillo,Tordo Amarillo,Tordo Amarillo,Tordo Amarillo
Pseudoleistes guirahuro,Yellow-rumped Marshbird,yermar1,615924905,FALSE,Tordo Güirahuró,Pecho Amarillo Grande,Tordo Güirahuró,Tordo Güirahuró,Tordo Güirahuró,Tordo Güirahuró,Tordo Güirahuró,Tordo Güirahuró,Tordo Güirahuró
Pseudoleistes virescens,Brown-and yellow Marshbird,baymar1,100332041,FALSE,Tordo Pechiamarillo,Pecho Amarillo,Tordo Pechiamarillo,Tordo Pechiamarillo,Tordo Pechiamarillo,Tordo Pechiamarillo,Tordo Pechiamarillo,Tordo Pechiamarillo,Tordo Pechiamarillo
PARULIDAE,New World Warblers,,,FALSE,,,,,,,,,
Seiurus aurocapilla,Ovenbird,ovenbi1,216853,TRUE,Reinita Hornera,Reinita Hornera,Reinita Hornera,Reinita Hornera,Reinita Hornera,Chipe Suelero,Reinita Hornera,Reinita Hornera,Reinita Hornera
Helmitheros vermivorum,Worm-eating Warbler,woewar1,84859,FALSE,Reinita Gusanera,Reinita Gusanera,Reinita Gusanera,Reinita Gusanera,Reinita Gusanera,Chipe Gusanero,Reinita Gusanera,Reinita Gusanera,Reinita Gusanera
Parkesia motacilla,Louisiana Waterthrush,louwat,341945051,FALSE,Reinita Charquera de Luisiana,Reinita Charquera de Luisiana,Reinita Acuática Piquigrande,Reinita Charquera de Luisiana,Reinita Charquera de Luisiana,Chipe Arroyero,Reinita Acuática Piquigrande,Reinita Charquera de Luisiana,Reinita de Luisana
Parkesia noveboracensis,Northern Waterthrush,norwat,86389,FALSE,Reinita Charquera Norteña,Arañero de Agua,Reinita Acuática Norteña,Reinita Acuática Norteña,Reinita Charquera Norteña,Chipe Charquero,Reinita Acuática Norteña,Reinita-Acuática Norteña,Reinita de los Charcos
Vermivora bachmanii,Bachman's Warbler,bacwar,10718,FALSE,Reinita de Bachman,Reinita de Bachman,Reinita de Bachman,Reinita de Bachman,Reinita de Bachman,Reinita de Bachman,Reinita de Bachman,Reinita de Bachman,Reinita de Bachman
Vermivora chrysoptera,Golden-winged Warbler,gowwar,527190,FALSE,Reinita Alidorada,Reinita Alidorada,Reinita Alidorada,Reinita Alidorada,Reinita Alidorada,Chipe Alas Amarillas,Reinita Alidorada,Reinita de Ala Dorada,Reinita Alidorada
Vermivora cyanoptera,Blue-winged Warbler,buwwar,339920491,TRUE,Reinita aliazul,Reinita aliazul,Reinita Aliazul,Reinita aliazul,Reinita Aliazul,Chipe Alas Azules,Reinita Aliazul,Reinita aliazul,Reinita Aliazul
Mniotilta varia,Black-and-white Warbler,bawwar,27196,TRUE,Reinita Trepadora,Reinita Trepadora,Reinita Trepadora,Reinita Blanquinegra (Cebra),Reinita Trepadora,Chipe Trepador,Reinita Trepadora,Reinita Trepadora,Reinita Trepadora
Protonotaria citrea,Prothonotary Warbler,prowar,99435531,TRUE,Reinita protonotaria,Reinita protonotaria,Reinita Cabecidorada,Reinita Protonotaria,Reinita Protonotaria,Chipe Dorado,Reinita Protonotaria,Reinita protonotaria,Reinita Protonotaria
Limnothlypis swainsonii,Swainson's Warbler,swawar,73908,FALSE,Reinita de Swainson,Reinita de Swainson,Reinita de Swainson,Reinita de Swainson,Reinita de Swainson,Chipe Corona Café,Reinita de Swainson,Reinita de Swainson,Reinita Apagada
Oreothlypis superciliosa,Crescent-chested Warbler,crcwar,342071391,FALSE,Reinita Cejuda,Reinita Cejuda,Reinita Cejuda,Reinita Cejuda,Reinita Cejuda,Chipe Cejas Blancas,Reinita Cejuda,Reinita Cejuda,Reinita Cejuda
Oreothlypis gutturalis,Flame-throated Warbler,fltwar1,205758,FALSE,Reinita Flamígera,Reinita Flamígera,Reinita Garganta de Fuego,Reinita Flamígera,Reinita flamígera,Reinita Flamígera,Reinita Gorguirroja,Reinita Flamígera,Reinita Flamígera
Leiothlypis peregrina,Tennessee Warbler,tenwar,85236,FALSE,Reinita de Tennessee,Reinita de Tennessee,Reinita Verdilla,Reinita Verdilla,Reinita de Tennessee,Chipe Peregrino,Reinita Verdilla,Reinita Verdilla,Reinita Gorro Gris
Leiothlypis celata,Orange-crowned Warbler,orcwar,366011911,FALSE,Reinita Coroninaranja,Reinita Coroninaranja,Reinita Olivácea,Reinita Coroninaranja,Reinita Coroninaranja,Chipe Oliváceo,Reinita Olivácea,Reinita Coroninaranja,Reinita Coroninaranja
Leiothlypis crissalis,Colima Warbler,colwar,452645361,FALSE,Reinita de Colima,Reinita de Colima,Reinita de Colima,Reinita de Colima,Reinita de Colima,Chipe de Colima,Reinita de Colima,Reinita de Colima,Reinita de Colima
Leiothlypis luciae,Lucy's Warbler,lucwar,133958601,FALSE,Reinita de Lucy,Reinita de Lucy,Reinita de Lucy,Reinita de Lucy,Reinita de Lucy,Chipe Rabadilla Castaña,Reinita de Lucy,Reinita de Lucy,Reinita de Lucy
Leiothlypis ruficapilla,Nashville Warbler,naswar,98800,FALSE,Reinita de Nashville,Reinita de Nashville,Reinita Cachetigrís,Reinita de Nashville,Reinita de Nashville,Chipe Cabeza Gris,Reinita Cachetigrís,Reinita de Nashville,Reinita de Nashville
Leiothlypis virginiae,Virginia's Warbler,virwar,105313461,FALSE,Reinita de Virginia,Reinita de Virginia,Reinita de Virginia,Reinita de Virginia,Reinita de Virginia,Chipe de Virginia,Reinita de Virginia,Reinita de Virginia,Reinita de Virginia
Leucopeza semperi,Semper's Warbler,semwar1,,FALSE,Reinita de Semper,Reinita de Semper,Reinita de Semper,Reinita de Semper,Reinita de Semper,Reinita de Semper,Reinita de Semper,Reinita de Semper,Reinita de Semper
Oporornis agilis,Connecticut Warbler,conwar,103567031,FALSE,Reinita de Connecticut,Reinita de Connecticut,Reinita Ojianillada,Reinita Ojianillada,Reinita de Connecticut,Chipe de Connecticut,Reinita Ojianillada,Reinita de Connecticut,Reinita Ágil
Geothlypis poliocephala,Grey-crowned Yellowthroat,gycyel,209220,FALSE,Mascarita Coronigrís,Mascarita Coronigrís,Antifacito Coronigrís,Mascarita Coronigrís,Mascarita Coronigrís,Mascarita Pico Grueso,Antifacito Coronigrís,Mascarita Coronigrís,Mascarita Coronigrís
Geothlypis chiriquensis,Chiriqui Yellowthroat,,,FALSE,Mascarita de Chiriquí,Mascarita de Chiriquí,Mascarita de Chiriquí,Mascarita de Chiriquí,Mascarita de Chiriquí,Mascarita de Chiriquí,Mascarita de Chiriquí,Mascarita de Chiriquí,Mascarita de Chiriquí
Geothlypis auricularis,Black-lored Yellowthroat,masyel4,11017,FALSE,Mascarita embridada,Arañero Peruano,Mascarita embridada,Antifacito Lorinegro,Mascarita embridada,Mascarita embridada,Mascarita embridada,Reinita de Lores Negros,Mascarita embridada
Geothlypis aequinoctialis,Masked Yellowthroat,masyel2,70373,FALSE,Mascarita Equinoccial,Arañero Enmascarado,Mascarita Equinoccial,Antifacito Enmascarado,Mascarita equinoccial,Mascarita Equinoccial,Mascarita Equinoccial,Reinita Equinoccial,Reinita Equinoccial
Geothlypis tolmiei,MacGillvray's Warbler,macwar,342407871,FALSE,Reinita de Tolmie,Reinita de Tolmie,Reinita de Tupidero,Reinita de Tolmie,Reinita de Tolmie,Chipe Lores Negros,Reinita de MacGillivray,Reinita de Tolmie,Reinita de Tolmie
Geothlypis philadelphia,Mourning Warbler,mouwar,59594971,FALSE,Reinita Plañidera,Reinita Plañidera,Reinita Enlutada,Reinita Plañidera,Reinita Plañidera,Chipe de Pechera,Reinita Enlutada,Reinita Plañidera,Reinita Enlutada
Geothlypis formosa,Kentucky Warbler,kenwar,341674081,FALSE,Reinita de Kentucky,Reinita de Kentucky,Reinita Cachetinegra,Reinita de Kentucky,Reinita de Kentucky,Chipe Patilludo,Reinita Cachetinegra,Reinita de Kentucky,Reinita Hermosa
Geothlypis bairdi,Baird's Warbler,,,FALSE,,,,,,,,,
Geothlypis semiflava,Olive-crowned Yellowthroat,olcyel1,48170421,FALSE,Mascarita Coronioliva,Mascarita Coronioliva,Antifacito Coroniolivo,Antifacito Coronioliva,Mascarita coronioliva,Mascarita Coronioliva,Antifacito Coronioliva,Mascarita Coronioliva,Mascarita Coronioliva
Geothlypis speciosa,Black-polled Yellowthroat,blpyel1,204021781,FALSE,Mascarita Transvolcánica,Mascarita Transvolcánica,Mascarita Transvolcánica,Mascarita Transvolcánica,Mascarita Transvolcánica,Mascarita del Lerma,Mascarita Transvolcánica,Mascarita Transvolcánica,Mascarita Transvolcánica
Geothlypis beldingi,Belding's Yellowthroat,belyel1,50211101,FALSE,Mascarita de Belding,Mascarita de Belding,Mascarita de Belding,Mascarita de Belding,Mascarita de Belding,Mascarita Bajacaliforniana,Mascarita de Belding,Mascarita de Belding,Mascarita de Belding
Geothlypis rostrata,Bahama Yellowthroat,bahyel1,89305761,FALSE,Mascarita de las Bahamas,Mascarita de las Bahamas,Mascarita de las Bahamas,Mascarita de las Bahamas,Mascarita de las Bahamas,Mascarita de las Bahamas,Mascarita de las Bahamas,Mascarita de las Bahamas,Mascarita de las Bahamas
Geothlypis flavovelata,Altamira Yellowthroat,altyel1,354405411,FALSE,Mascarita de Altamira,Mascarita de Altamira,Mascarita de Altamira,Mascarita de Altamira,Mascarita de Altamira,Mascarita de Altamira,Mascarita de Altamira,Mascarita de Altamira,Mascarita de Altamira
Geothlypis trichas,Common Yellowthroat,comyel,94345,TRUE,Mascarita común,Arañero de Vincha,Antifacito Norteño,Mascarita común,Mascarita Común,Mascarita Común,Antifacito Común,Mascarita común,Reinita Gargantiamarilla
Geothlypis nelsoni,Hooded Yellowthroat,hooyel1,362556461,FALSE,Mascarita Matorralera,Mascarita Matorralera,Mascarita Matorralera,Mascarita Matorralera,Mascarita Matorralera,Mascarita Matorralera,Mascarita Matorralera,Mascarita Matorralera,Mascarita Matorralera
Catharopeza bishopi,Whistling Warbler,whiwar1,450300291,FALSE,Reinita de San Vicente,Reinita de San Vicente,Reinita de San Vicente,Reinita de San Vicente,Reinita de San Vicente,Reinita de San Vicente,Reinita de San Vicente,Reinita de San Vicente,Reinita de San Vicente
Setophaga plumbea,Plumbeous Warbler,pluwar1,203902981,FALSE,Reinita Plúmbea,Reinita Plúmbea,Reinita Plúmbea,Reinita Plúmbea,Reinita Plúmbea,Reinita Plúmbea,Reinita Plúmbea,Reinita Plúmbea,Reinita Plúmbea
Setophaga angelae,Elfin Woods Warbler,elwwar1,138899,FALSE,Reinita de Ángela,Reinita de Ángela,Reinita de Ángela,Reinita de Ángela,Reinita de Ángela,Reinita de Ángela,Reinita de Ángela,Reinita de Ángela,Reinita de Ángela
Setophaga pharetra,Arrowhead Warbler,arrwar1,560481711,FALSE,Reinita Jamaicana,Reinita Jamaicana,Reinita Jamaicana,Reinita Jamaicana,Reinita Jamaicana,Reinita Jamaicana,Reinita Jamaicana,Reinita Jamaicana,Reinita Jamaicana
Setophaga citrina,Hooded Warbler,hoowar,211804851,TRUE,Reinita encapuchada,Reinita encapuchada,Reinita Encapuchada,Reinita encapuchada,Reinita Encapuchada,Chipe Encapuchado,Reinita Encapuchada,Reinita encapuchada,Reinita de Capucha
Setophaga ruticilla,American Redstart,amered,534354,TRUE,Candelita norteña,Arañero Boreal,Candelita Norteña,Candelita Norteña,Candelita Norteña,Pavito Migratorio,Candelita Norteña,Candelita Americana,Candelita Migratoria
Setophaga kirtlandii,Kirtland's Warbler,kirwar,13982,FALSE,Reinita de Kirtland,Reinita de Kirtland,Reinita de Kirtland,Reinita de Kirtland,Reinita de Kirtland,Reinita de Kirtland,Reinita de Kirtland,Reinita de Kirtland,Reinita de Kirtland
Setophaga tigrina,Cape May Warbler,camwar,68917,FALSE,Reinita Atigrada,Reinita Atigrada,Reinita Tigrina,Reinita Atigrada,Reinita Atigrada,Chipe Atigrado,Reinita Tigrina,Reinita Atigrada,Reinita Atigrada
Setophaga cerulea,Cerulean Warbler,cerwar,85119,TRUE,Reinita cerúlea,Reinita cerúlea,Reinita Cerulea,Reinita Cerúlea,Reinita Cerúlea,Chipe Celeste,Reinita Cerúlea,Reinita Cerúlea,Reinita Cerúlea
Setophaga americana,Northern Parula,norpar,351946681,FALSE,Parula Norteña,Parula Norteña,Parula Norteña,Parula Norteña,Parula Norteña,Chipe Pecho Manchado,Parula Norteña,Parula Norteña,Reinita Americana
Setophaga pitiayumi,Tropical Parula,tropar,444656371,TRUE,Parula Pitiayumí,Pitiayumí,Parula Tropical,Parula Tropical,Parula Pitiayumí,Chipe Tropical,Parula Tropical,Parula Tropical,Reinita Montañera
Setophaga graysoni,Socorro Parula,,,FALSE,Parula Pitiayumí (graysoni),Parula Pitiayumí (graysoni),Parula Pitiayumí (graysoni),Parula Pitiayumí (graysoni),Parula pitiayumí (graysoni),Parula Pitiayumí (graysoni),Parula Pitiayumí (graysoni),Parula Pitiayumí (graysoni),Parula Pitiayumí (graysoni)
Setophaga magnolia,Magnolia Warbler,magwar,228996,FALSE,Reinita de Magnolia,Reinita de Magnolia,Reinita Colifajeada,Reinita de Magnolia,Reinita de Magnolia,Chipe de Magnolias,Reinita Colifajeada,Reinita de Magnolia,Reinita Manchada
Setophaga castanea,Bay-breasted Warbler,babwar,249809,FALSE,Reinita Castaña,Reinita Castaña,Reinita Castaña,Reinita Pechicastaña,Reinita Castaña,Chipe Castaño,Reinita Pechicastaña,Reinita Castaña,Reinita Pecho Bayo
Setophaga fusca,Blackburnian Warbler,bkbwar,9576,FALSE,Reinita Gorjinaranja,Arañero Garganta Naranja,Reinita Gorginaranja,Reinita Pechinaranja,Reinita Gorjinaranja,Chipe Garganta Naranja,Reinita Gorguinaranja,Reinita de Garganta Naranja,Reinita Gargantianaranjada
Setophaga petechia,Yellow Warbler,manwar1,203907381,TRUE,Reinita Amarilla/de Manglar,Reinita Amarilla/de Manglar,Reinita de Manglar,Reinita Manglera,Reinita amarilla/de manglar,Chipe Manglero,Reinita Amarilla Manglera,Reinita Amarilla Manglera,Canario de Mangle
S. p. petechia,Golden Warbler,,,FALSE,,,,,,,,,
S. p. erithachorides,Mangrove Warbler,,,FALSE,,,,,,,,,
