Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sr
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,Malajski paunaš
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Borneanski paunaš
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Vijetnamski paunaš
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Hajnanski paunaš
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,Sivi paunaš
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Planinski paunaš
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Bronzorepi paunaš
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Madagaskarska jarebica
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Prepelica
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Japanska prepelica
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Indijska kišna prepelica
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Arlekinska prepelica
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Australijska riđolika prepelica
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Australijska smeđa prepelica
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,Kineska prepelica
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Plava prepelica
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Papuanska prepelica
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Kavkaska koka
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Kaspijska koka
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Himalajska koka
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tibetanska koka
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Altajska koka
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Kamenjarka
Alectoris chukar,Chukar,chukar,210513,FALSE,Turska kamenjarka
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Kineska kamenjarka
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Crnogrla kamenjarka
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Afrička kamenjarka
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Španska kamenjarka
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Arabijska kamenjarka
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Snežna jarebica lerva
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Persijska peščarka
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Egipatska peščarka
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,Prašumska prepelica/kamenjarska prepelica
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Kamenjarska prepelica
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Šarena prepelica
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Manipurska prepelica
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Himalajska prepelica
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Namibijski frankolin
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Dvoostrugasti frankolin
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Žutokljuni frankolin
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Šareni crvenoliki frankolin
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Biserni frankolin
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Biserka
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Belogruda biserka
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Crna biserka
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Lešinarska biserka
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Biserka sa perjanicom
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,Zapadna ćubasta biserka
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,Istočna ćubasta biserka
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,Južna ćubasta biserka
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Mala afrička kamenjarka
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Nahanov frankolin
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Prugasta meksička prepelica
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Planinska ćubasta prepelica
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Virdžinijska prepelica
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Crnogrla kolinus prepelica
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,Pegava prepelica
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,Ćubasta prepelica
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Ljuskava prepelica
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Daglasova prepelica
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Gambelova prepelica
Callipepla californica,California Quail,calqua,111018,TRUE,Kalifornijska prepelica
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Bradata šumska jarebica
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Dugorepa šumska jarebica
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Žutokruna šumska jarebica
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Mramorasta šumska prepelica
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Šumska prepelica pegavih krila
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Crnouha šumska prepelica
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Crnouha šumska prepelica
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Crnočela šumska prepelica
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Kestenjasta šumska prepelica
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Šumska prepelica tamnih leđa
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Šumska prepelica riđih grudi
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Šumska prepelica iz Takarkune
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,Ogrličasta šumska prepelica
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Venecuelanska šumska prepelica
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Crnogruda šumska prepelica
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Šumska prepelica sa prugastim licem
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Zvezdasta šumska prepelica
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Pegava šumska prepelica
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Žutolika prepelica
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Pevajuća prepelica
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Montezumina prepelica
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,Montezumina prepelica (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Krupnopegava prepelica
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Jarebica sa planina Udzungva i Rubeho
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Crvenoćuba prepelica
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Brdska jarebica
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Riđogrla jarebica
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Jarebica belih obraza
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Crvenokljuni frankolin
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Kapski frankolin
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Natalski frankolin
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Krupnopegavi frankolin
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Ganski frankolin
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Ljuskasti frankolin
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Sivoprugasti frankolin
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Žutovrati frankolin
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Sivogrudi frankolin
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Crvenovrati frankolin
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Smeđi crvenoliki frankolin
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Riđogrudi frankolin
