Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,et
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,kalimantani paabufaasan
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,vietnami paabufaasan
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,hainani paabufaasan
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,hall-paabufaasan
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,mägi-paabufaasan
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,sumatra paabufaasan
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,helmeskana
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,põldvutt
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,ida-põldvutt
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,india vihmavutt
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,aafrika vihmavutt
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,punakurk-vutt
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,soovutt
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,ida-sinivutt
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,aafrika sinivutt
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,mägivutt
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,kaukaasia mägikana
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,pärsia mägikana
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,suur-mägikana (himaalaja mägikana)
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,tiibeti mägikana
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,altai mägikana
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,kalju-kivikana
Alectoris chukar,Chukar,chukar,210513,FALSE,aasia kivikana
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,uiguuri kivikana
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,mustkurk-kivikana
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,berberi kivikana
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,lääne-kivikana
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,araabia kivikana
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,lumekana
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,kõnnukana
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,kõrbekana
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,džunglivutt/kõnnuvutt
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,kõnnuvutt
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,valgekurk-vutt
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,heinavutt
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,tuhkvutt
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,namiibia frankoliin (namiibia frankoliinkana)
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,savannifrankoliin e.savanni-frankoliinkana
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,koldnokk-frankoliin (koldnokk-frankoliinkana)
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,liivafrankoliin (liiva-frankoliinkana)
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,sorgofrankoliin (sorgo-frankoliinkana)
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,pärlkana
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,kiilas-pärlkana
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,must-pärlkana
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,hund-pärlkana
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,paruk-pärlkana
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,kähar-pärlkana
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,rahnukana
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,uganda frankoliin (uganda-frankoliinkana)
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,vööt-tuttvutt
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,mägi-tuttvutt
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,nurmvutt
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,mustkurk-nurmvutt
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,täpik-nurmvutt
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,lõuna-nurmvutt
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,soomus-tuttvutt
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,võsa-tuttvutt
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,kõrbe-tuttvutt
Callipepla californica,California Quail,calqua,111018,TRUE,kalifornia tuttvutt
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,hallkurk-händvutt
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,mustkurk-händvutt
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,valgekurk-händvutt
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,pruun-selvavutt
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,hall-selvavutt
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,tanu-selvavutt
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,tanu-selvavutt
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,mustpõsk-selvavutt
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,prill-selvavutt
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,tume-selvavutt
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,peruu selvavutt
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,panama selvavutt
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,tamme-selvavutt
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,venetsueela selvavutt
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,mustrind-selvavutt
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,aimaraa selvavutt
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,paruk-selvavutt
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,põhja-selvavutt
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,roostepõsk-vutt
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,lauluvutt
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,mehhiko maskvutt
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,maia maskvutt
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,udzungwa nõlvakana
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,tanukana
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,himaalaja künkakana
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,punakael-künkakana
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,mustkurk-künkakana
