Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,uk
Melidectes ochromelas,Cinnamon-browed Honeyeater,cibmel1,139526,FALSE,Медвянець сивоспинний
Melidectes leucostephes,Vogelkop Honeyeater,vogmel1,42743351,FALSE,Медвянець білолобий
Melidectes belfordi,Belford's Honeyeater,belmel1,22720,FALSE,Медвянець синьощокий
Melidectes rufocrissalis,Yellow-browed Honeyeater,yebmel1,203972471,FALSE,Медвянець жовтобровий
Melidectes foersteri,Huon Honeyeater,huomel1,182800,FALSE,Медвянець півострівний
Gerygone hypoxantha,Biak Gerygone,biager1,617066154,FALSE,Ріроріро біяцький
Gerygone magnirostris,Large-billed Gerygone,labger1,203983611,FALSE,Ріроріро великодзьобий
Gerygone dorsalis,Rufous-sided Gerygone,rusger1,629621875,FALSE,Ріроріро рудий
Gerygone tenebrosa,Dusky Gerygone,dusger1,176317741,FALSE,Ріроріро узбережний
Gerygone citrina,Rennell Gerygone,fatger3,203934761,FALSE,ріроріро ренельський
Gerygone flavolateralis,Fan-tailed Gerygone,fatger1,628121705,FALSE,Ріроріро віялохвостий
Gerygone modesta,Norfolk Gerygone,noiger1,203968451,FALSE,Ріроріро острівний
†Gerygone insularis,Lord Howe Gerygone,lohger1,,FALSE,
Gerygone igata,Grey Gerygone,gryger1,613180644,TRUE,Ріроріро сірий
Gerygone albofrontata,Chatham Gerygone,chiger2,384306621,FALSE,Ріроріро чатамський
Gerygone ruficollis,Brown-breasted Gerygone,brbger1,203988131,FALSE,Ріроріро буроволий
Gerygone levigaster,Mangrove Gerygone,manger1,101313331,FALSE,Ріроріро мангровий
Gerygone fusca,Western Gerygone,wesger1,233844,FALSE,Ріроріро західний
Smicrornis brevirostris,Weebill,weebil1,232910,FALSE,Ріроріро короткодзьобий
Pycnoptilus floccosus,Pilotbird,pilotb1,215144781,FALSE,Попутник
Pyrrholaemus brunneus,Redthroat,redthr1,177711141,FALSE,Пустковик рудогорлий
Pyrrholaemus sagittatus,Speckled Warbler,spewar3,361083721,FALSE,Пустковик малий
Calamanthus pyrrhopygius,Chestnut-rumped Heathwren,chrhea1,614369601,FALSE,Куреник рудогузий
Calamanthus cautus,Shy Heathwren,shyhea1,203930741,FALSE,Куреник білобровий
Calamanthus fuliginosus,Striated Fieldwren,strfie1,252177211,FALSE,Пустковик смугастий
Calamanthus montanellus,Western Fieldwren,ruffie3,203886761,FALSE,Пустковик західний
Calamanthus campestris,Rufous Fieldwren,ruffie2,464076961,FALSE,Пустковик рудий/західний
Origma solitaria,Rockwarbler,rocwar1,381591071,FALSE,Оригма
Crateroscelis murina,Rusty Mouse-warbler,rumwar1,203994561,FALSE,Папоротчук вохристий
Crateroscelis nigrorufa,Bicoloured Mouse-warbler,,,FALSE,Папоротчук рудий
Crateroscelis robusta,Mountain Mouse-warbler,momwar1,203994591,FALSE,Папоротчук гірський
