Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fi
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,valkovatsapyy
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,mustapyy
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,punapääpyy
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,ruostepuupyy
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,punapyyfasaani
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,kirjopyyfasaani
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,srilankanpyyfasaani
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,kongonriikinkukko
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,riikinkukko
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,viherriikinkukko
Argusianus argus,Great Argus,grearg1,203944171,TRUE,argusfasaani
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,palawanintäpläfasaani
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,malesiantäpläfasaani
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,borneontäpläfasaani
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,vietnamintäpläfasaani
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,hainanintäpläfasaani
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,harmaatäpläfasaani
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,vuoritäpläfasaani
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,sumatrantäpläfasaani
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,madagaskarinpyy
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,viiriäinen
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,japaninviiriäinen
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,aroviiriäinen
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,afrikanviiriäinen
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,sänkiviiriäinen
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,suoviiriäinen
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,idänsiniviiriäinen
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,afrikansiniviiriäinen
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,papuanviiriäinen
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,kaukasianlumikana
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,kaspianlumikana
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,himalajanlumikana
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,tiibetinlumikana
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,altainlumikana
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,kivikkopyy
Alectoris chukar,Chukar,chukar,210513,FALSE,vuoripyy
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,tiibetinpunapyy
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,jemeninpyy
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,kalliopyy
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,punapyy
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,mustalakkipyy
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,himalajanpyy
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,hietikkopyy
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,aavikkopyy
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,viidakkopensas-/aavikkopensasviiriäinen
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,aavikkopensasviiriäinen
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,kirjopensasviiriäinen
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,assaminpensasviiriäinen
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,himalajanviiriäisfasaani
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,namibianfrankoliini
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,kannusfrankoliini
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,keltanokkafrankoliini
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,hietikkofrankoliini
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,boranfrankoliini
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,helmikana
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,liberianhelmikana
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,mustahelmikana
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,viiruhelmikana
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,kiharahelmikana
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,töyhtöhelmikana
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,louhikkopyy
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,kongonmetsäfrankoliini
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,meksikonvuoriviiriäinen
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,vuoriviiriäinen
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,peltoviiriäinen
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,mustakurkkuviiriäinen
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,töyhtöviiriäinen
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,suomuviiriäinen
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,pensastupsuviiriäinen
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,aavikkotupsuviiriäinen
Callipepla californica,California Quail,calqua,111018,TRUE,kaliforniantupsuviiriäinen
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,harmaakurkkupyy
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,mustakurkkupyy
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,valkokurkkupyy
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,marmoriviiriäinen
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,täpläsiipiviiriäinen
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,mustakorvaviiriäinen
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,mustakorvaviiriäinen
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,naamioviiriäinen
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,silmälasiviiriäinen
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,ecuadorinviiriäinen
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,rusorintaviiriäinen
