Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,hoko žlutolaločnatý
Crax alector,Black Curassow,blacur1,322191801,FALSE,hoko pospolitý
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,hoko žlutozobý
Crax pinima,Belem Curassow,,,FALSE,hoko žlutozobý (ssp. pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,hoko korunkatý
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,hoko červenolaločnatý
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,hoko pruhoocasý
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,hoko mitu
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,hoko amazonský
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,hoko Salvinův
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,hoko bolívijský
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,hoko peruánský
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,hoko přílbový
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,koroptev tchaiwanská
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,koroptev kaštanovoprsá
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,koroptev pruhokřídlá
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,koroptev hnědoprsá
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,koroptev límcová
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,koroptev Davidova
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,koroptev rezavohlavá
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,koroptev peracká
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,koroptev batacká
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,koroptev sumaterská
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,koroptev bělohrdlá
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,koroptev jávská
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,koroptev červenozobá
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,koroptev bornejská
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,koroptev hainanská
Arborophila chloropus,Green-legged Partridge,,,FALSE,koroptev zelenonohá
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,koroptev zelenonohá (ssp. tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,koroptev sabažská
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,koroptev dlouhozobá
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,koroptev dulitská
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,koroptev černá
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,koroptev karmínovohlavá
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,koroptev lesní
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,kur křovinný
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,kur indický
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,kur dvouostruhý
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,páv konžský
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,páv korunkatý
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,páv zelený
Argusianus argus,Great Argus,grearg1,203944171,TRUE,argus okatý
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,bažant palawanský
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,bažant malajský
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,bažant bornejský
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,bažant hnědý
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,bažant chajnanský
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,bažant paví
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,bažant horský
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,bažant bronzový
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,koroptev madagaskarská
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,křepelka polní
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,křepelka japonská
