Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,tr
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,Bolivya Boynuzlu Hokkosu
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,Peru boynuzlu hokkosu
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,Kuzey Boynuzlu Hokkosu
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,Tayvan dağ kekliği
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,Kızıl göğüslü dağ kekliği
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,Sarı göğüslü dağ kekliği
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,Ak boğazlı dağ kekliği
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,Kolyeli dağ kekliği
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,Kayısı gerdanlı dağ kekliği
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Kamboçya dağ kekliği
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Malezya dağ kekliği
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Roll dağ kekliği
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,Sumatra Dağ Kekliği
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,Oriyental Dağ Kekliği
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Kızıl karınlı dağ kekliği
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Al gagalı dağ kekliği
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Kızılca dağ kekliği
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Kara başlı dağ kekliği
Arborophila chloropus,Green-legged Partridge,,,FALSE,Yeşil bacaklı dağ kekliği
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,Yeşil bacaklı dağ kekliği (tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,Sabah Dağ Kekliği
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,Uzun Gagalı Keklik
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Dulit kekliği
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Kara keklik
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Al başlı keklik
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Kırmızı başlı kara keklik
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Kızılca horoz kekliği
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Boyalı horoz kekliği
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Benekli horoz kekliği
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Kongo tavuskuşu
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Tavuskuşu
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Yeşil Tavuskuşu
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Büyük Argus
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Palavan Adası tavus sülünü
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,Malezya Tavus Sülünü
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Borneo Tavus Sülünü
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Küçük Tavus Sülünü
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Başlıklı küçük tavus sülünü
