Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ca
Centropus sinensis,Greater Coucal,grecou1,407541021,FALSE,cucal gros
Centropus andamanensis,Andaman Coucal,andcou1,203955261,FALSE,Cucal de les illes Andaman
Centropus goliath,Goliath Coucal,golcou1,203906651,FALSE,Cucal goliat
Centropus toulou,Madagascar Coucal,madcou1,203970171,FALSE,cucal de Madagascar
Centropus grillii,Black Coucal,blacou1,3084,FALSE,Cucal africà
Centropus viridis,Philippine Coucal,phicou1,203999661,FALSE,Cucal de les Filipines
Centropus bengalensis,Lesser Coucal,lescou1,249865961,FALSE,Cucal de Bengala
Centropus violaceus,Violaceous Coucal,viocou1,203976811,FALSE,Cucal violaci
Centropus bernsteini,Black-billed Coucal,lebcou1,251041021,FALSE,Cucal negre petit
Centropus phasianinus,Pheasant Coucal,phecou2,233567,TRUE,Cucal faisà
Centropus spilopterus,Kai Coucal,,,FALSE,cucal faisà (spilopterus)
Rhinortha chlorophaea,Raffles's Malkoha,rafmal1,541541851,FALSE,Malcoa de Raffles
Ceuthmochares aereus,Chattering Yellowbill,yellow5,434335841,FALSE,malcoha africà occidental
Ceuthmochares australis,Whistling Yellowbill,yellow6,211153291,FALSE,malcoha africà oriental
Taccocua leschenaultii,Sirkeer Malkoha,sirmal1,371776741,FALSE,Malcoa bec de corall
Zanclostomus javanicus,Red-billed Malkoha,rebmal2,626123229,FALSE,Malcoa gola-roig
Phaenicophaeus pyrrhocephalus,Red-faced Malkoha,refmal1,223439,FALSE,Malcoa cara-rogenc
Phaenicophaeus viridirostris,Blue-faced Malkoha,blfmal1,276002481,FALSE,Malcoa d'ulls blaus
Phaenicophaeus diardi,Black-bellied Malkoha,blbmal1,71314,FALSE,Malcoa de ventre negre
Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,chbmal1,391945241,FALSE,Malcoa de ventre rogenc
Phaenicophaeus tristis,Green-billed Malkoha,grbmal1,204016461,FALSE,Malcoa fumat
Phaenicophaeus curvirostris,Chestnut-breasted Malkoha,chbmal2,616241705,FALSE,Malcoa pitbrú
Phaenicophaeus oeneicaudus,Mentawai Malkoha,chbmal3,101923871,FALSE,malcoha de les Mentawai
Dasylophus superciliosus,Red-crested Malkoha,recmal1,202345281,FALSE,Malcoa de cresta roja
Lepidogrammus cumingi,Scale-feathered Malkoha,scfmal1,282684261,FALSE,Malcoa frisat
Rhamphococcyx calyorhynchus,Yellow-billed Malkoha,yebmal1,640716477,FALSE,Malcoa de Sulawesi
Cuculus poliocephalus,Lesser Cuckoo,lescuc1,168997341,FALSE,cucut menut
Cuculus rochii,Madagascar Cuckoo,madcuc1,203951991,FALSE,Cucut de Madagascar
Hypotaenidia torquata,Barred Rail,barrai1,203893411,FALSE,Rascló embridat
Hypotaenidia insignis,New Britail Rail,,,FALSE,Rascló de Nova Bretanya
†Hypotaenidia poeciloptera,Bar-winged Rail,bawrai1,,FALSE,
Hypotaenidia tertia,Bougainville Rail,,,FALSE,
Hypotaenidia immaculata,Santa Isabel Rail,,,FALSE,
Hypotaenidia woodfordi,Guadalcanal Rail,,,FALSE,Rascló de l'illa Santa Isabel
Hypotaenidia rovianae,Roviana Rail,rovrai1,,FALSE,Rascló de Roviana
Hypotaenidia owstoni,Guam Rail,guarai1,533472181,FALSE,Rascló de l'illa de Guam
†Hypotaenidia wakensis,Wake Rail,,,FALSE,
†Hypotaenidia dieffenbachii,Dieffenbach's Rail,dierai1,,FALSE,
Hypotaenidia sylvestris,Lord Howe Woodhen,,,FALSE,Rascló de l'illa Lord Howe
Hypotaenidia philippensis,Buff-banded Rail,bubrai1,275668211,FALSE,
†Hypotaenidia pacifica,Tahiti Rail,tahrai1,,FALSE,
Dryolimnas cuvieri,White-throated Rail,whtrai1,93687,FALSE,Rascló de Cuvier
†Dryolimnas augusti,Reunion Rail,reurai1,,FALSE,
Crex egregia,African Crake,afrcra1,81483851,FALSE,Guatlla maresa africana
Crex crex,Corncrake,corcra,237871791,FALSE,Guatlla maresa eurasiàtica
Rougetius rougetii,Rouget's Rail,rourai1,642157786,FALSE,Rascló de Rouget
Mundia elpenor,St Helena Crake,asccra1,,FALSE,Rascló de l'illa de l'Ascensió
