Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,lt
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Juodakepurė miškinė putpelė
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Venesuelinė miškinė putpelė
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Baltagurklė miškinė putpelė
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Dryžaveidė miškinė putpelė
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Žvaigždėtoji miškinė putpelė
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Kuoduotoji miškinė putpelė
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Ilgakojė putpelė
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Giedančioji putpelė
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Montesumos verkiančioji putpelė
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Paprastoji verkiančioji putpelė
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Tanzaninė kurapka
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Kuoduotoji kurapka
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Paprastoji krūmyninė kurapka
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Raudongurklė krūmyninė kurapka
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Baltaskruostė krūmyninė kurapka
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Raudonsnapis frankolinas
