Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pl
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,przepiórka madagaskarska
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,przepiórka
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,przepiórka japońska
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,przepiórka indyjska
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,przepiórka pstra
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Przepiórka Rudogardła
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,przepiórka błotna
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,przepiórka chińska
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,przepiórka modra
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,przepiórka nowogwinejska
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,ułar kaukaski
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,ułar kaspijski
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,ułar himalajski
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,ułar tybetański
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,ułar ałtajski
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,góropatwa skalna
Alectoris chukar,Chukar,chukar,210513,FALSE,góropatwa azjatycka
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,góropatwa chińska
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,góropatwa czarnogardła
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,góropatwa berberyjska
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Kuropatwa Czerwona
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,góropatwa arabska
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,śnieżnik
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,kuropatewka piaskowa
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,kuropatewka pustynna
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,przepióreczka dżunglowa/skalna
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,przepióreczka skalna
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,przepióreczka czerwonodzioba
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,przepióreczka ciemna
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,przepiórecznik
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,szponiastonóg namibijski
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,szponiastonóg zbrojny
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,szponiastonóg żółtodzioby
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,szponiastonóg pstry
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,szponiastonóg czerwonooki
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,perlica (zwyczajna)
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,pantarka białoszyja
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,pantarka czarna
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,perlica sępia
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,perlica czarna
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,perlica modrolica
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,perlica czubata
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,perlica czarnolica
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,kuraczek skalny
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,kuraczek leśny
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,przepiór prążkowany
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,przepiór ozdobny
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Przepiór Wirginijski
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,przepiór białobrewy
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,przepiór plamisty
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,przepiór zmienny
