Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,hu
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,kongói páva
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,indiai páva
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,zöld páva
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argus-páva
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,díszes pávafácán
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,borneói pávafácán
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,barna pávafácán
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,hegyi pávafácán
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,bronzfarkú pávafácán
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,madagaszkári gyöngyfürj
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Fürj
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,japán fürj
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,esőfürj
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,harlekinfürj
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,kék fürj
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,kaukázusi királyfogoly
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,kaszpi királyfogoly
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,himalájai királyfogoly
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,tibeti királyfogoly
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,altaj királyfogoly
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Szirtifogoly
Alectoris chukar,Chukar,chukar,210513,FALSE,Csukár
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Przevalski-fogoly
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Philby szirtifoglya
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,barnanyakú szirtifogoly
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,vörös fogoly
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,arab szirtifogoly
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,hófogoly
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,álarcos sivatagifogoly
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,fehérfülű sivatagifogoly
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,manipuri erdeifogoly
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,himalájai fürj
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Hartlaub-frankolin
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Sarkatyús frankolin
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Heuglin-frankolin
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Clapperton-frankolin
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Harwood-frankolin
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,sisakos gyöngytyúk
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,fehérmellű gyöngytyúk
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,fekete gyöngytyúk
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,keselyűfejű gyöngytyúk
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,búbos gyöngytyúk
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,kövi fogoly
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,hegyi bóbitásfürj
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Bozótfürj
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,feketetorkú fogasfürj
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,pikkelyes fogasfürj
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Douglas-fogasfürj
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Gambel-fogasfürj
Callipepla californica,California Quail,calqua,111018,TRUE,kaliforniai búbosfürj
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,hosszúfarkú fogasfürj
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,foltosszárnyú fogasfürj
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,feketehomlokú fogasfürj
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,csíkosarcú fogasfürj
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,pettyes fogasfürj
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,udzungwai erdeifogoly
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,rulrul
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,pettyes frankolin
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,fokföldi frankolin
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,natáli frankolin
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Hildebrandt-frankolin
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,sárganyakú frankolin
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,vörösnyakú frankolin
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Swainson-frankolin
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Jackson-frankolin
