Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,it
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argo maggiore
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Speroniere di Palawan
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Speroniere del Borneo
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Speroniere di Germain
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Speroniere di Hainan
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Speroniere montano
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Speroniere codabronzo
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Pernice del Madagascar
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Quaglia
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Quaglia del Giappone
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Quaglia delle piogge
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Quaglia arlecchino
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Quaglia bruna
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Quaglia blu
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Quaglia degli Snow
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Tetraogallo del Caucaso
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Tetraogallo del Caspio
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Tetraogallo dell'Himalaya
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tetraogallo del Tibet
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Tetraogallo dell'Altai
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Coturnice
Alectoris chukar,Chukar,chukar,210513,FALSE,Coturnice orientale
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Pernice di Przevalski
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Pernice di Philby
