Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,zh,zh_hk,zh_tw
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,蓝孔雀,藍孔雀,藍孔雀
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,绿孔雀,绿孔雀,綠孔雀
Argusianus argus,Great Argus,grearg1,203944171,TRUE,大眼斑雉,大眼斑雉,大眼斑雉
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,,,
R. o. nigrescens,Malaysian Argus,,,FALSE,,,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,巴拉望孔雀雉,巴拉望孔雀雉,巴拉旺孔雀雉
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,,,
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,加里曼丹孔雀雉,加里曼丹孔雀雉,婆羅洲孔雀雉
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,眼斑孔雀雉,眼斑孔雀雉,眼斑孔雀雉
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,海南孔雀雉,海南孔雀雉,海南孔雀雉
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,,,
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,山孔雀雉,山孔雀雉,山孔雀雉
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,铜尾孔雀雉,铜尾孔雀雉,銅尾孔雀雉
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,马岛鹑,马岛鹑,馬達加斯加鶉
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,,,
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,鹌鹑（日本鹌鹑）,鵪鶉,鵪鶉
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,黑胸鹌鹑,黑胸鹌鹑,黑胸鵪鶉
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,花脸鹌鹑,花脸鹌鹑,丑鵪鶉
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,,,
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,,,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,褐鹌鹑,褐鹌鹑,褐鶉
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,小鵪鶉,藍胸鶉,
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,非洲蓝鹑,非洲蓝鹑,藍鶉
