Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,de
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Rotbrustwachtel
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Tacarcunawachtel
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,Kragenwachtel
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Venezuelawachtel
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Weißkehlwachtel
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Streifengesichtwachtel
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Sternwachtel
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Tropfenwachtel
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Graubrustwachtel
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Singwachtel
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Montezumawachtel
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,Montezumawachtel (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Tränenwachtel
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Udzungwawachtel
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Strausswachtel
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Hügelbuschwachtel
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Rotkehl-Buschwachtel
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Weißwangen-Buschwachtel
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Rotschnabelfrankolin
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Kapfrankolin
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Natalfrankolin
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Hildebrandtfrankolin
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Ahantafrankolin
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Schuppenfrankolin
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Graustreifenfrankolin
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Gelbkehlfrankolin
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Graubrustfrankolin
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Rotkehlfrankolin
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Swainsonfrankolin
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Jacksonfrankolin
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Edelfrankolin
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Kamerunfrankolin
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Swierstrafrankolin
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Braunnackenfrankolin
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Erckelfrankolin
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Wacholderfrankolin
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Halsbandfrankolin
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Tropfenfrankolin
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Perlfrankolin
Francolinus pondicerianus,Grey Francolin,,,FALSE,Wachtelfrankolin
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Sumpffrankolin
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Schopffrankolin
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,Weißkehlfrankolin
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,Schlegelfrankolin
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,Lathamfrankolin
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,Kragenfrankolin
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,Grauflügelfrankolin
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,Finschfrankolin
