Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sk
Phacellodomus erythrophthalmus,Orange-eyed Thornbird,oretho1,203986261,FALSE,košikárik krvavooký/červenooký
Phacellodomus ferrugineigula,Orange-breasted Thornbird,orbtho1,117983,FALSE,košikárik červenooký
Hellmayrea gularis,White-browed Spinetail,whbspi2,66179,FALSE,košikárik bielobrvý
Anumbius annumbi,Firewood-gatherer,firgat1,624994344,TRUE,raždiar anumbi
Coryphistera alaudina,Lark -like Brushrunner,lalbru1,301501,FALSE,chochlička behavá
Asthenes usheri,White-tailed Canastero,,,FALSE,košikárik bielochvostý (skup.)
Asthenes huancavelicae,Huancavelica Canastero,patcan1,203691981,FALSE,košikárik bledochvostý
Asthenes arequipae,Arequipa Canastero,crbcan4,428383671,FALSE,košikárik tmavokrídly
Asthenes dorbignyi,Creamy-breasted Canastero,crbcan2,174859,FALSE,košikárik svetloprsý
Asthenes berlepschi,Berlepsch's Canastero,bercan1,75716111,FALSE,košikárik krovinový
Asthenes baeri,Short-billed Canastero,shbcan1,213083,FALSE,košikárik krátkozobý
Asthenes luizae,Cipo Canastero,cipcan1,297176781,FALSE,košikárik skalný
Asthenes anthoides,Austral Canastero,auscan1,75713671,FALSE,košikárik ľabtuškovitý
Asthenes hudsoni,Hudson's Canastero,hudcan1,304705781,FALSE,košikárik škvrnitý
Asthenes urubambensis,Line-fronted Canastero,lifcan1,78050881,FALSE,košikárik machový
Asthenes flammulata,Many-striped Canastero,mascan1,397777661,FALSE,košikárik čiarkovaný
Asthenes virgata,Junin Canastero,juncan1,31746781,FALSE,košikárik junínsky
Asthenes maculicauda,Scribble-tailed Canastero,sctcan1,50840,FALSE,košikárik jarabochvostý
Asthenes modesta,Cordilleran Canastero,corcan1,589133391,FALSE,košikárik kordillersky
Asthenes humilis,Streak-throated Canastero,sttcan1,212572151,FALSE,košikárik zemný
Asthenes wyatti,Streak-backed Canastero,stbcan9,189513,FALSE,košikárik behavý
A. w. sclateri,Puna Canastero,,,FALSE,
Asthenes moreirae,Itatiaia Spinetail,itaspi1,471284671,FALSE,košikárik dlhochvostý
Asthenes pyrrholeuca,Sharp-billed Canastero,shbcan2,217162,FALSE,košikárik ostrozobý
Asthenes harterti,Black-throated Thistletail,bltthi1,174817,FALSE,košikárik čiernohrdlý
Asthenes coryi,Ochre-browed Thistletail,ocbthi1,308554081,FALSE,košikárik venezuelský
Asthenes perijana,Perija Thistletail,perthi1,46892421,FALSE,košikárik perijský
Asthenes fuliginosa,White-chinned Thistletail,whcthi1,203940121,FALSE,košikárik bielobradý
Asthenes griseomurina,Mouse-colured Thistletail,mocthi1,21746,FALSE,košikárik myšací
Asthenes helleri,Puna Thistletail,punthi1,203891661,FALSE,košikárik Hellerov
Asthenes ottonis,Rusty-fronted Canastero,rufcan1,511072181,FALSE,košikárik hrdzavočelý
Asthenes palpebralis,Eye-ringed Thistletail,eyrthi1,586107241,FALSE,košikárik okuliarnatý
Asthenes heterura,Maqeuis Canastero,maqcan1,212251,FALSE,košikárik horský
Asthenes pudibunda,Canyon Canastero,cancan1,28712,FALSE,košikárik kaňonový
Asthenes vilcabambae,Vilcabamba Thistletail,vilthi2,374670051,FALSE,košikárik vilcabambský
Asthenes ayacuchensis,Ayacucho Thistletail,vilthi3,370096431,FALSE,košikárik ayacuchský
Acrobatornis fonsecai,Pink-legged Graveteiro,pilgra1,254862221,FALSE,plantážnik kakaovníkový
Metopothrix aurantiaca,Orange-fronted Plushcrown,orfplu2,531978431,FALSE,zlatohlávka sivochrbtá
Xenerpestes minlosi,Double-banded Greytail,dobgra1,20092441,FALSE,sivochvost pásokrídly
Xenerpestes singularis,Equatorial Greytail,equgra1,620683084,FALSE,sivochvost škvrnitý
Siptornis striaticollis,Spectacled Prickletail,spepri1,21621501,FALSE,brhlíkovec pralesný
Roraimia adusta,Roraiman Barbtail,rorbar1,362387501,FALSE,korunárik maskový
Thripophaga gutturata,Speckled Spinetail,spespi1,203697931,FALSE,košikárik žltobradý
Thripophaga cherriei,Orinoco Softtail,orisof1,323589401,FALSE,košikárik orinocký
Thripophaga amacurensis,Delta Amacuro Softtail,deasof1,388960501,FALSE,košikárik deltový
Thripophaga macroura,Striated Softtail,strsof1,249820021,FALSE,košikárik širokochvostý
Thripophaga fusciceps,Plain Softtail,plasof1,88205,FALSE,košikárik hrdzavokrídly
Limnoctites rectirostris,Straight-billed Reedhaunter,stbree2,19097,FALSE,košikárik priamozobý
Cranioleuca sulphurifera,Sulphur-throated Spinetail,,,FALSE,košikárik močiarny
Cranioleuca marcapatae,Marcapata Spinetail,marspi4,35437,FALSE,košikárik marcapatský
Cranioleuca weskei,Vilcabamba Spinetail,marspi1,508009491,FALSE,košikárik Weskeho
Cranioleuca albiceps,Light-crowned Spinetail,licspi1,65267,FALSE,košikárik korunkatý
Cranioleuca vulpecula,Parker's Spinetail,parspi1,127489,FALSE,košikárik lišací
Cranioleuca berlepschi,Russet-mantled Softtail,rumsof1,31953361,FALSE,košikárik krovinový
Cranioleuca vulpina,Rusty-backed Spinetail,rubspi4,366315101,FALSE,košikárik hrdzavý
Cranioleuca dissita,Coiba Spinetail,rubspi5,241373731,FALSE,košikárik ostrovný
Cranioleuca muelleri,Scaled Spinetail,scaspi1,115267,FALSE,košikárik šupinatý
Cranioleuca albicapilla,Creamy-crested Spinetail,crcspi1,31745501,FALSE,košikárik krémovochochlatý
Cranioleuca obsoleta,Olive Spinetail,olispi1,700061,FALSE,košikárik olivový
Cranioleuca pallida,Pallid Spinetail,palspi1,203698121,FALSE,košikárik bledý
Cranioleuca pyrrhophia,Stripe-crowned Spinetail,stcspi2,218241,FALSE,košikárik ohnivý
Cranioleuca henricae,Bolivian Spinetail,bolspi1,132776,FALSE,košikárik bolívijský
Cranioleuca erythrops,Red-faced Spinetail,refspi1,213378901,FALSE,košikárik červenolíci
Cranioleuca baroni,Baron's Spinetail,,,FALSE,košikárik Baronov (skup.)
Cranioleuca antisiensis,Line-cheeked Spinetail,licspi5,203930041,FALSE,košikárik volavý
Cranioleuca curtata,Ash-browed Spinetail,asbspi1,624344102,FALSE,košikárik obočnatý
Cranioleuca demissa,Tepui Spinetail,tepspi1,389400091,FALSE,košikárik podhorský
Cranioleuca semicinerea,Grey-headed Spinetail,gyhspi1,278193741,FALSE,košikárik sivohlavý
Cranioleuca hellmayri,Streak-capped Spinetail,stcspi1,167291,FALSE,košikárik broméliový
Cranioleuca subcristata,Crested Spinetail,crespi1,386893331,FALSE,košikárik čepcový
Pseudasthenes humicola,Dusky-tailed Canastero,dutcan1,615710552,FALSE,košikárik tmavochvostý
Pseudasthenes patagonica,Patagonian Canastero,patcan2,46444,FALSE,košikárik patagónsky
Pseudasthenes steinbachi,Steinbach's Canastero,stecan1,86541,FALSE,košikárik gaštanový
Pseudasthenes cactorum,Cactus Canastero,caccan1,26404121,FALSE,košikárik kaktusový
Spartonoica maluroides,Bay-capped Wren-spinetail,bcwspi1,386664381,FALSE,vidláčik svrčavý
Pseudoseisura unirufa,Grey-crested Cachalote,rufcac2,87257,FALSE,kačolota sivochochlatá
Pseudoseisura cristata,Caatinga Cachalote,caacac1,509612001,FALSE,kačolota hrdzavá
Pseudoseisura lophotes,Brown Cachalote,brncac1,52543,FALSE,kačolota hnedá
Pseudoseisura gutturalis,White-throated Cachalote,whtcac2,625092831,FALSE,kačolota suchomilná
Mazaria propinqua,White-bellied Spinetail,whbspi1,203699661,FALSE,košikárik bielobruchý
Schoeniophylax phryganophilus,Chotoy Spinetail,chospi2,132822,FALSE,košikárik čotoj
Certhiaxis cinnamomeus,Yellow-chinned Spinetail,yecspi2,66188,FALSE,košikárik bahenný
Certhiaxis mustelinus,Red-and-white Spinetail,rawspi2,127579,FALSE,košikárik lasičí
Synallaxis scutata,Ochre-cheeked Spinetail,occspi1,393341541,FALSE,košikárik okrovolíci
Synallaxis cinerascens,Grey-bellied Spinetail,gybspi1,423707011,FALSE,košikárik sivobruchý
Synallaxis gujanensis,Plain-crowned Spinetail,plcspi1,203962661,FALSE,košikárik plavý
Synallaxis maranonica,Maranon Spinetail,marspi3,130451,FALSE,košikárik Taczanowského
Synallaxis simoni,Araguaia Spinetail,whlspi3,220187,FALSE,košikárik okrovoprsý
Synallaxis albilora,White-lored Spinetail,whlspi1,203698151,FALSE,košikárik okrový
Synallaxis kollari,Hoary-throated Spinetail,hotspi1,299934631,FALSE,košikárik šedivohrdlý
