Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,dk
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Congopåfugl
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Påfugl
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Grøn Påfugl
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argusfasan
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Palawanpåfuglefasan
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,Malay Påfuglefasan
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Borneopåfuglefasan
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Vietnampåfuglefasan
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Hainan Påfuglefasan
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,Grå Påfuglefasan
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Bjergpåfuglefasan
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Sumatrapåfuglefasan
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Madagaskarvagtel
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Vagtel
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Japansk Vagtel
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Regnvagtel
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Harlekinvagtel
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Sortbrystet Vagtel
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Sumpvagtel
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,Kinesisk Dværgvagtel
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Afrikansk Dværgvagtel
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Papuavagtel
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Kaukasisk Kongehøne
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Kaspisk Kongehøne
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Himalayakongehøne
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tibetkongehøne
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Altaikongehøne
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Stenhøne
Alectoris chukar,Chukar,chukar,210513,FALSE,Chukarhøne
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Kinesisk Stenhøne
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Sortstrubet Stenhøne
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Berberhøne
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Rødhøne
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Arabisk Stenhøne
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Snehøne
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Si-si Ørkenhøne
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Ørkenhøne
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,Buskvagtel/Ørkenbuskvagtel
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Ørkenbuskvagtel
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Rødnæbbet Buskvagtel
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Manipurbuskvagtel
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Uttar Pradesh-vagtel
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Namibfrankolin
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Stribet Frankolin
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Gulnæbbet Frankolin
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Sahelfrankolin
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Abayfrankolin
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Perlehøne
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Hvidbrystet Kalkunhøne
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Sort Kalkunhøne
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Gribbeperlehøne
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Parykperlehøne
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,Vestlig Parykperlehøne
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,Parykperlehøne
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,Gulnakket Parykperlehøne
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Afrikansk Buskhøne
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Ituribuskhøne
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Båndvagtel
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Bjergvagtel
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Bobwhite
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Yucatántrævagtel
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,Hvidstrubet Trævagtel
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,Toptrævagtel
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Skælvagtel
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Rødtoppet Vagtel
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Ørkentopvagtel
Callipepla californica,California Quail,calqua,111018,TRUE,Californisk Topvagtel
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Vera Cruz-skovvagtel
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Langhalet Skovvagtel
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Hvidpandet Skovvagtel
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Brun Tandvagtel
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Pletvinget Tandvagtel
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Sortøret Tandvagtel
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Sortøret Tandvagtel
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Sortpandet Tandvagtel
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Kastanjetandvagtel
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Mørkrygget Tandvagtel
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Rødbrystet Tandvagtel
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Tacarcuna-tandvagtel
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,Halsbåndstandvagtel
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Venezuelatandvagtel
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Sortbrystet Tandvagtel
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Boliviatandvagtel
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Perutandvagtel
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Mexicansk Tandvagtel
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Langbenet Tandvagtel
