Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,eo
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,dulita perdriko
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,nigra perdriko
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,ruĝkapa perdriko
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,rusta perdriko
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,ruĝa spronperdriko
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,pentrita spronperdriko
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,srilanka spronperdriko
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,konga pavo
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,blua pavo
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,verda pavo
Argusianus argus,Great Argus,grearg1,203944171,TRUE,granda argusfazano
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,palavana pavofazano
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,bornea pavofazano
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,bruna pavofazano
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,hajnana pavofazano
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,monta pavofazano
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,bronzvosta pavofazano
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,madagaskara perdriko
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,japania koturno
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,pluva koturno
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,arlekena koturno
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,bruna koturno
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,blua koturno
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,monta koturno
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,kaŭkazia neĝkoko
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,kaspia neĝkoko
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,himalaja neĝkoko
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,tibeta neĝkoko
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,altaja neĝkoko
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,
Alectoris chukar,Chukar,chukar,210513,FALSE,ĉukara perdriko
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,pŝevalskia perdriko
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,filbia perdriko
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,berbera perdriko
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,ruĝa perdriko
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,arabia perdriko
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,neĝa perdriko
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,grizgorĝa perdriko
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,sabla perdriko
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,roka koturno
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,ruĝbeka koturno
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,manipura koturno
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,himalaja koturno
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,namibia frankolino
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,dusprona frankolino
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,flavbeka frankolino
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,klapertona frankolino
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,harvuda frankolino
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,kaska numido
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,blankbrusta numido
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,nigra numido
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,vultura numido
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,plumporta numido
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,blukapa numido
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,roka arbokoturno
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,nahana arbokoturno
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,stria arbokoturno
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,monta arbokoturno
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,nigragorĝa arbokoturno
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,skvama arbokoturno
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,eleganta arbokoturno
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,gambela arbokoturno
Callipepla californica,California Quail,calqua,111018,TRUE,kalifornia arbokoturno
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,barba arbokoturno
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,longvosta arbokoturno
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,helkrona arbokoturno
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,gujana arbokoturno
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,punktoflugila arbokoturno
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,nigravanga arbokoturno
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,nigravanga arbokoturno
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,nigrafrunta arbokoturno
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,bruna arbokoturno
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,nigradorsa arbokoturno
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,rufbrusta arbokoturno
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,takarkuna arbokoturno
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,venezuela arbokoturno
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,nigrabrusta arbokoturno
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,strivanga arbokoturno
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,stelita arbokoturno
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,makula arbokoturno
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,rufmaska arbokoturno
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,kanta arbokoturno
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,montezuma arbokoturno
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,ocela arbokoturno
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,udzungŭa perdriko
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,kresta perdriko
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,rufkrona perdriko
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,rufgorĝa perdriko
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,blankvanga perdriko
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,ruĝbeka frankolino
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,kaba frankolino
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,natala frankolino
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,hildebranta frankolino
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,ahanta frankolino
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,skvama frankolino
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,grizastria frankolino
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,flavgorĝa frankolino
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,grizbrusta frankolino
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,ruĝgorĝa frankolino
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,svainsona frankolino
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,kenja frankolino
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,uganda frankolino
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,kameruna frankolino
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,angola frankolino
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,rufnuka frankolino
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,sudana frankolino
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,ĝibutia frankolino
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,nigra frankolino
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,pentrita frankolino
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,ĉinia frankolino
Francolinus pondicerianus,Grey Francolin,,,FALSE,griza frankolino
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,marĉa frankolino
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,kresta frankolino
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,blankagorĝa frankolino
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,ŝlegela frankolino
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,arbara frankolino
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,kolringa frankolino
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,finŝa frankolino
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,elgona frankolino
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,
Scleroptila whytei,Whyte's Francolin,shefra3,277097,FALSE,zambia frankolino
Scleroptila gutturalis,Orange River Francolin,orrfra2,510309801,FALSE,kalahara frankolino
Bambusicola fytchii,Mountain Bamboo-partridge,mobpar1,53420721,FALSE,monta bambuperdriko
Bambusicola thoracicus,Chinese Bamboo-partridge,chbpar3,48693961,FALSE,
Bambusicola sonorivox,Taiwan Bamboo-partridge,taibap1,203928081,FALSE,tajvana perdriko
Gallus gallus,Red Junglefowl,redjun,203917071,TRUE,ruĝa koko
Gallus sonneratii,Grey Junglefowl,grejun2,219526241,FALSE,griza koko
Gallus lafayetii,Sri Lanka Junglefowl,ceyjun1,223436,FALSE,srilanka koko
Gallus varius,Green Junglefowl,grejun1,199794101,FALSE,verda koko
Tetraophasis obscurus,Chestnut-throated Partridge,verpar1,335063,FALSE,brungorĝa perdriko
Tetraophasis szechenyii,Buff-throated Partridge,szepar1,356505841,FALSE,helgorĝa perdriko
Lophophorus impejanus,Himalayan Monal,himmon1,182618261,TRUE,himalaja monalo
Lophophorus sclateri,Sclater's Monal,sclmon1,485571991,FALSE,blankvosta monalo
