Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,nl
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Zwartkeeltandkwartel
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,Witkeeltandkwartel
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Venezuelatandkwartel
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Zwartborsttandkwartel
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Vlekbuiktandkwartel
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Stippelborsttandkwartel
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Gevlekte Tandkwartel
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Langpootkwartel
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Zangkwartel
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Montezumabergkwartel
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,Montezumabergkwartel (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Gevlekte Bergkwartel
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Udzungwa Partijs
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Roelroel
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Gewone Bospatrijs
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Roodkeelbospatrijs
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Witwangbospatrijs
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Roodsnavelfrankolijn
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Kaapse Frankolijn
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Natalfrankolijn
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Hildebrandts Frankolijn
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Ahantafrankolijn
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Geschubde Frankolijn
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Grants Frankolijn
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Geelkeelfrankolijn
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Grijshalsfrankolijn
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Roodkeelfrankolijn
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Swainsons Frankolijn
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Jacksons Frankolijn
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Bamboefrankolijn
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Kameroenfrankolijn
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Swierstra's Frankolijn
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Roestkopfrankolijn
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Erckels Frankolijn
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Djiboutifrankolijn
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Zwarte Frankolijn
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Bonte Frankolijn
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Chinese Frankolijn
Francolinus pondicerianus,Grey Francolin,,,FALSE,Grijze Frankolijn
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Moerasfrankolijn
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Kuiffrankolijn
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
