Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fr
Lepidocolaptes albolineatus,Lineated Woodcreeper,linwoo3,635458006,FALSE,Grimpar lancéolé G. du Duida. G. à calotte sombre G. de Layard ou G. de l'Inambari
Lepidocolaptes duidae,Duida Woodcreeper,linwoo4,323175921,FALSE,Grimpar du Duida
Lepidocolaptes fuscicapillus,Dusky-capped Woodcreeper,ducwoo1,299932141,FALSE,Grimpar à calotte sombre
Lepidocolaptes fatimalimae,Inambari Woodcreeper,inawoo1,502435691,FALSE,Grimpar de l'Inambari
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,sthwoo1,21543,FALSE,Grimpar de Souleyet
Lepidocolaptes squamatus,Scaled Woodcreeper,scawoo1,23781,FALSE,Grimpar écaillé ou G. festonné
Lepidocolaptes falcinellus,Scalloped Woodcreeper,scawoo2,71674481,FALSE,Grimpar festonné
Lepidocolaptes lacrymiger,Montane Woodcreeper,monwoo1,308529601,FALSE,Grimpar montagnard
Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1,109135,FALSE,Grimpar givré
Lepidocolaptes affinis,Northern Spot-crowned Woodcreeper,spcwoo1,205595,FALSE,Grimpar moucheté ou G. montagnard
Lepidocolaptes neglectus,Southern Spot-crowned Woodcreeper,,,FALSE,Grimpar moucheté (neglectus)
Xenops genibarbis,Plain Xenops,plaxen3,127938,FALSE,Sittine d'Illiger ou S. du Mexique
Xenops minutus,White-throated Xenops,plaxen4,57918,FALSE,Sittine brune S. d'Illiger ou S. du Mexique
Xenops rutilans,Streaked Xenops,strxen1,615305525,FALSE,Sittine striée
Xenops tenuirostris,Slender-billed Xenops,slbxen1,191952461,FALSE,Sittine des rameaux
Berlepschia rikeri,Palmcreeper,potpal1,203957211,FALSE,Berlepschia des palmiers
Microxenops milleri,Rufous-tailed Xenops,rutxen1,70877611,FALSE,Microxénops à queue rousse
Pygarrhichas albogularis,White-throated Treerunner,whttre2,290924531,FALSE,Picotelle à gorge blanche
Ochetorhynchus andaecola,Rock Earthcreeper,rocear1,189518,FALSE,Chilia des Andes
Ochetorhynchus melanurus,Crag Chilia,crachi1,482876661,FALSE,Chilia des rochers
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,stbear2,556355241,FALSE,Chilia de Meyen
Ochetorhynchus phoenicurus,Band-thailed Earthcreeper,batear1,70892941,FALSE,Chilia rougequeue
Pseudocolaptes lawrencii,Buffy Tuftedcheek,buftuf1,46235861,FALSE,Pseudocolapte chamois ou P. de Johnson
Pseudocolaptes johnsoni,Pacific Tuftedcheek,buftuf3,493521141,FALSE,Pseudocolapte de Johnson
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,strtuf1,21937,FALSE,Pseudocolapte de Boissonneau ou P. chamois
Premnornis guttuliger,Rusty-winged Barbtail,ruwbar1,575601861,FALSE,Premnornis à gouttelettes
Tarphonomus harterti,Bolivian Earthcreeper,bolear1,52533,FALSE,Fournier de Bolivie
Tarphonomus certhioides,Chaco Earthcreeper,chaear1,52553,FALSE,Fournier du Chaco ou F. de Bolivie
Furnarius torridus,Pale-billed Hornero,pabhor2,30818,FALSE,Fournier à bec clair [incl. tricolor]
Furnarius figulus,Wing-banded Hornero,wibhor1,380089271,FALSE,Fournier bridé
Furnarius leucopus,Pale-legged Hornero,palhor3,84912,FALSE,Fournier variable F. à bec clair F. du Venezuela ou F. cannelle
Furnarius longirostris,Caribbean Hornero,palhor5,204008421,FALSE,Fournier du Venezuela
Furnarius cinnamomeus,Pacific Hornero,palhor4,104688911,FALSE,Fournier cannelle
Furnarius minor,Lesser Hornero,leshor1,608478276,FALSE,Petit Fournier
Furnarius rufus,Rufous Hornero,rufhor2,82661,TRUE,Fournier roux
FORMICARIIDAE,Ground-antbirds,,,FALSE,
Formicarius colma,Rufous-capped Antthrush,rucant2,203932021,FALSE,Tétéma colma
Formicarius moniliger,Mayan Antthrush,bkfant2,448767961,FALSE,Tétéma du Mexique
Formicarius analis,Black-faced Antthrush,blfant1,138124951,FALSE,Tétéma coq-de-bois ou T. du Mexique
Formicarius rufifrons,Rufous-fronted Antthrush,rufant3,76040,FALSE,Tétéma à front roux
Formicarius nigricapillus,Black-headed Antthrush,bkhant7,450484661,FALSE,Tétéma à tête noire
Formicarius rufipectus,Rufous-breasted Antthrush,rubant1,448383841,FALSE,Tétéma à poitrine rousse
Chamaeza campanisona,Short-tailed Anttrush,shtant1,17831,FALSE,Tétéma flambé
Chamaeza nobilis,Striated Anttrush,strant3,203934021,FALSE,Tétéma strié
Chamaeza meruloides,Cryptic Anttrush,sucant1,203888731,FALSE,Tétéma de Such
Chamaeza turdina,Scalloped Anttrush,schant1,242013601,FALSE,Tétéma festonné ou T. de Such
Chamaeza ruficauda,Rufous-tailed Anttrush,rutant2,19943,FALSE,Tétéma à queue rousse ou T. festonné
Chamaeza mollissima,Barred Anttrush,barant2,107141,FALSE,Tétéma barré
FURNARIIDAE,Ovenbirds,,,FALSE,Furnariidé sp.
Sclerurus mexicanus,Tawny-throated Leaftosser,tatlea1,574406861,FALSE,Sclérure à gorge rousse ou S. obscur
Sclerurus rufigularis,Short-billed Leaftosser,shblea1,228176,FALSE,Sclérure à bec court
Sclerurus guatemalensis,Scaly-throated Leaftosser,sctlea1,239957561,FALSE,Sclérure écaillé
Sclerurus caudacutus,Black-tailed Leaftosser,bltlea1,203932061,FALSE,Sclérure des ombres
Sclerurus albigularis,Grey-throated Leaftosser,grtlea1,502342301,FALSE,Sclérure à gorge grise
Sclerurus scansor,Rufous-breasted Leaftosser,rublea1,231701421,FALSE,Sclérure à poitrine rousse
Sclerurus cearensis,Ceara Leaftosser,,,FALSE,Sclérure à poitrine rousse (cearensis)
Geositta peruviana,Coastal Miner,coamin1,70785351,FALSE,Géositte du Pérou
Geositta tenuirostris,Slender-billed Miner,slbmin1,203696191,FALSE,Géositte à bec grêle
Geositta cunicularia,Common Miner,commin1,470064951,FALSE,Géositte mineuse
Geositta punensis,Puna Miner,punmin1,210383,FALSE,Géositte de la puna
Geositta poeciloptera,Campo Miner,cammin2,203695971,FALSE,Géositte des campos
Geositta crassirostris,Thick-billed Miner,thbmin1,628360153,FALSE,Géositte à bec épais
Geositta rufipennis,Rufous-banded Miner,rubmin1,86545,FALSE,Géositte à ailes rousses
Geositta maritima,Greyish Miner,gramin1,525241181,FALSE,Géositte grise
Geositta antarctica,Short-billed Miner,shbmin1,70804161,FALSE,Géositte à bec court
Geositta saxicolina,Dark-winged Miner,dawmin1,31746711,FALSE,Géositte à ailes sombres
Geositta isabellina,Creamy-rumped Miner,crrmin1,615677647,FALSE,Géositte isabelle
Certhiasomus stictolaemus,Spot-throated Woodcreeper,sptwoo1,49501711,FALSE,Grimpar à gorge tachetée
Deconychura typica,Little Long-tailed Woodcreeper,lotwoo3,546620811,FALSE,Grimpar de Cherrie
Deconychura longicauda,Long-tailed Woodcreeper,lotwoo4,631761193,FALSE,Grimpar à longue queue G. de Cherrie ou G. pâlot
Deconychura pallida,Southern Long-tailed Woodcreeper,lotwoo5,115136,FALSE,Grimpar pâlot
Sittasomus griseus,Western Olivaceous Woodcreeper,,,FALSE,Grimpar fauvette [griseus ou aequatorialis]
Sittasomus griseicapillus,Eastern Olivaceous Woodcreeper,oliwoo1,65713,FALSE,Grimpar fauvette
Dendrocincla tyrannina,Tyrannine Woodcreeper,tyrwoo1,484172621,FALSE,Grimpar tyran
Dendrocincla merula,White-chinned Woodcreeper,whcwoo1,388637371,FALSE,Grimpar à menton blanc
Dendrocincla homochroa,Ruddy Woodcreeper,rudwoo1,566096551,FALSE,Grimpar roux
Dendrocincla anabatina,Tawny-winged Woodcreeper,tawwoo1,22035221,FALSE,Grimpar à ailes rousses
Dendrocincla fuliginosa,Plain-brown Woodcreeper,plbwoo1,270370,FALSE,Grimpar enfumé ou G. grive
Dendrocincla turdina,Plain-winged Woodcreeper,plwwoo1,22030,FALSE,Grimpar grive
Glyphorhynchus spirurus,Wedge-billed Woodcreeper,webwoo1,384643061,FALSE,Grimpar bec-en-coin
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,citwoo1,306728221,FALSE,Grimpar à collier
Nasica longirostris,Long-billed Woodcreeper,lobwoo1,203899721,FALSE,Grimpar nasican
Dendrocolaptes sanctithomae,Western Barred Woodcreeper,nobwoo1,203938691,FALSE,Grimpar vermiculé
Dendrocolaptes punctipectus,Eastern Barred Woodcreeper,,,FALSE,Grimpar vermiculé (punctipectus)
Dendrocolaptes certhia,Amazonian Barred Woodcreeper,amabaw1,125391461,FALSE,Grimpar barré G. vermiculé G. concolore ou G. du Rio Xingu
