Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,jp,jp_latn
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,アカチャシャコ,
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,アカケズメシャコ,
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,クロアシケズメシャコ,
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,セイロンケズメシャコ,
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,コンゴクジャク,
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,インドクジャク,
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,マクジャク,
Argusianus argus,Great Argus,grearg1,203944171,TRUE,セイラン,
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,,
R. o. nigrescens,Malaysian Argus,,,FALSE,,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,パラワンコクジャク,
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,マレーエボシコクジャク,
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,ボルネオエボシコクジャク,
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,カッショクコクジャク,
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,ハイナンコクジャク,
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,コクジャク,
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,アカコクジャク,
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,アオオビコクジャク,
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,マダガスカルシャコ,
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,ヨーロッパウズラ,
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,ウズラ,
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,ムナグロウズラ,
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,ヤクシャウズラ,
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,オーストラリアウズラ,
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,ヌマウズラ,
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,ヒメウズラ,
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,アオヒメウズラ,
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,ユキヤマウズラ,
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,コーカサスセッケイ,
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,カスピアセッケイ,
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,ヒマラヤセッケイ,
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,チベットセッケイ,
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,アルタイセッケイ,
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,ハイイロイワシャコ,
Alectoris chukar,Chukar,chukar,210513,FALSE,イワシャコ,
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,オオイワシャコ,
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,ノドグロイワシャコ,
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,チャエリイワシャコ,
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,アカアシイワシャコ,
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,アラビアイワシャコ,
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,ユキシャコ,
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,ヒメイワシャコ,
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,スナシャコ,
