Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sv
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,vitmaskad sånghöna
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,javasånghöna
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,rödnäbbad sånghöna
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,borneosånghöna
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,hainansånghöna
Arborophila chloropus,Green-legged Partridge,,,FALSE,grönfotshöna
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,grönfotshöna (tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,sabahhöna
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,långnäbbshöna
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Hoses skogshöna
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,svart skogshöna
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,rödhuvad skogshöna
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,rostskogshöna
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,röd sporrhöna
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,broksporrhöna
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,ceylonsporrhöna
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,kongopåfågel
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,påfågel
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,grön påfågel
Argusianus argus,Great Argus,grearg1,203944171,TRUE,större argusfasan
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,palawanpåfågelfasan
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,malackapåfågelfasan
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,borneopåfågelfasan
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Germains påfågelfasan
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,hainanpåfågelfasan
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,grå påfågelfasan
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,bergpåfågelfasan
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,sumatrapåfågelfasan
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,madagaskarhöna
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,vaktel
