Latin,English,Croatian
Emberiza godlewski,Godlewski's Bunting,mongolska strnadica
Emberiza buchanani,Grey-necked Bunting,planinska strnadica
Emberiza cineracea,Cinereous Bunting,turska strnadica
Emberiza hortulana,Ortolan Bunting,vrtna strnadica
Emberiza caesia,Cretzschmar's Bunting,rusobrada strnadica
Emberiza cirlus,Cirl Bunting,crnogrla strnadica
Emberiza stewarti,White-capped Bunting,bjelokapa strnadica
Emberiza citrinella,Yellowhammer,žuta strnadica
Emberiza leucocephalos,Pine Bunting,bjeloglava strnadica
Emberiza cabanisi,Cabanis's Bunting,sivoleđa strnadica
Emberiza flaviventris,Golden-breasted Bunting,zlatnoprsa strnadica
Emberiza polipleura,Somali Bunting,somalijska strnadica
Emberiza capensis,Cape Bunting,kapska strnadica
Emberiza impetuani,Lark -like Bunting,cimetastotrba strnadica
Emberiza socotrana,Socotra Bunting,sokotranska strnadica
Emberiza sahari,House Bunting,riđa strnadica
Emberiza striolata,Striped Bunting,prugasta strnadica
Emberiza goslingi,Grey-throated Bunting,sivogrla strnadica
Emberiza tahapisi,Cinnamon-breasted Bunting,cimetasta strnadica
Emberiza elegans,Yellow-throated Bunting,žutogrla strnadica
Emberiza siemsseni,Slaty Bunting,plava strnadica
Emberiza yessoensis,Ochre-rumped Bunting,riđokrila strnadica
Emberiza schoeniclus,Reed Bunting,močvarna strnadica
E. s. intermedia,Dark Reed Bunting,sredozemna močvarna strnadica
E. s. reiseri,Balkan Reed Bundting,balkanska močvarna strnadica
E. s. pyrrhuloides,Southern Reed Bunting,krupnokljuna močvarna strnadica
Emberiza pallasi,Pallas's Bunting,tundranska strnadica
Emberiza aureola,Yellow-breasted Bunting,vrbova strnadica
Emberiza rustica,Rustic Bunting,šumska strnadica
Emberiza pusilla,Little Bunting,mala strnadica
Emberiza spodocephala,Black-faced Bunting,sivoglava strnadica
Emberiza personata,Masked Bunting,žutoprsa strnadica
Emberiza sulphurata,Yellow Bunting,japanska strnadica
Emberiza rutila,Chestnut Bunting,kestenjasta strnadica
Emberiza chrysophrys,Yellow-browed Bunting,sibirska strnadica
Emberiza tristrami,Tristram's Bunting,kineska strnadica
Emberiza variabilis,Grey Bunting,siva strnadica
PASSERELLIDAE,New World Sparrows,strnadari
Spizella passerina,Chipping Sparrow,kestenjastokapi strnadar
Spizella pallida,Clay-colored Sparrow,sivovrati strnadar
Spizella atrogularis,Black-chinned Sparrow,crnogrli strnadar
Spizella pusilla,Field Sparrow,poljski strnadar
Spizella breweri,Brewer's Sparrow,prugastokapi strnadar
Spizella wortheni,Worthen's Sparrow,riđokapi strnadar
Amphispiza bilineata,Black-throated Sparrow,crnoprsi strnadar
Amphispiza quinquestriata,Five-striped Sparrow,sivoboki strnadar
Chondestes grammacus,Lark Sparrow,šarenoglavi strnadar
Calamospiza melanocorys,Lark Bunting,crni strnadar
Rhynchospiza stolzmanni,Tumbes Sparrow,tumbeski strnadar
Rhynchospiza strigiceps,Stripe-capped Sparrow,sivouhi strnadar
Peucaea sumichrasti,Cinnamon-tailed Sparrow,cimetastorepi strnadar
Peucaea carpalis,Rufous-winged Sparrow,sivotrbi strnadar
Peucaea ruficauda,Stripe-headed Sparrow,prugastoglavi strnadar
Peucaea humeralis,Black-chested Sparrow,riđoleđi strnadar
Peucaea mystacalis,Bridled Sparrow,cimetastoboki strnadar
Peucaea botterii,Botteri's Sparrow,prugastoleđi strnadar
Peucaea cassinii,Cassin's Sparrow,pjegavi strnadar
Peucaea aestivalis,Bachman's Sparrow,riđokrili strnadar
Arremonops rufivirgatus,Olive Sparrow,maslinasti strnadar
Arremonops chloronotus,Green-backed Sparrow,jukatanski strnadar
Arremonops tocuyensis,Tocuyo Sparrow,maslinastoleđi strnadar
Arremonops conirostris,Black-striped Sparrow,zelenoleđi strnadar
Ammodramus savannarum,Grasshopper Sparrow,smeđolici strnadar
Ammodramus humeralis,Grassland Sparrow,livadni strnadar
Ammodramus aurifrons,Yellow-browed Sparrow,žutolici strnadar
Oreothraupis arremonops,Tanager Finch,kestenjasti strnadar
Chlorospingus flavopectus,Common Bush-tanager,tamnoglavi strnadar
Chlorospingus tacarcunae,Tacarcuna Bush-tanager,takarkunski strnadar
Chlorospingus inornatus,Pirre Bush-tanager,olovastoglavi strnadar
Chlorospingus semifuscus,Dusky Bush-tanager,mrki strnadar
Chlorospingus pileatus,Sooty-capped Bush-tanager,sivogrli strnadar
Chlorospingus parvirostris,Short-billed Bush-tanager,olovastotrbi strnadar
Chlorospingus hypophaeus,Orange-throated Bush-tanager,narančastogrli strnadar
Chlorospingus flavigularis,Yellow-throated Bush-tanager,sivoprsi strnadar
Chlorospingus canigularis,Ashy-throated Bush-tanager,srebrnastogrli strnadar
Arremon crassirostris,Sooty-faced Finch,brkati strnadar
Arremon castaneiceps,Olive Finch,zeleni strnadar
Arremon brunneinucha,Chestnut-capped Brush-finch,kestenjastokruni strnadar
Arremon virenticeps,Green-striped Brush-finch,olovastoboki strnadar
Arremon costaricensis,Costa Rican Brush-finch,kostarički strnadar
Arremon assimilis,Grey-browed Brush-finch,andski strnadar
Arremon basilicus,Sierra Nevasa Brush-finch,santamartski strnadar
Arremon perijanus,Perija Brush-finch,perihanski strnadar
Arremon torquatus,White-browed Brush-finch,obrvasti strnadar
Arremon atricapillus,Black-headed Brush-finch,crnolici strnadar
Arremon phaeopleurus,Caracas Brush-finch,venecuelski strnadar
Arremon phygas,Paria Brush-finch,zelenoboki strnadar
Arremon flavirostris,Saffron-billed Sparrow,narančastokljuni strnadar
Arremon axillaris,Yellow-mandibled Sparrow,žutorameni strnadar
Arremon taciturnus,Pectoral Sparrow,amazonski strnadar
Arremon semitorquatus,Half-collared Sparrow,zelenokrili strnadar
Arremon franciscanus,Sao Francisco Sparrow,žutokljuni strnadar
Arremon abeillei,Black-capped Sparrow,ogrličasti strnadar
Arremon nigriceps,Maranon Sparrow,maranonski strnadar
Arremon aurantiirostris,Orange-billed Sparrow,maslinastokrili strnadar
Arremon schegeli,Golden-winged Sparrow,crnoglavi strnadar
Pipilo ocai,Collared Towhee,dugorepi strnadar
Pipilo chlorurus,Green-tailed Towhee,zelenorepi strnadar
Pipilo maculatus,Spotted Towhee,riđoboki strnadar
Pipilo socorroensis,Socorro Towhee,sokorski strnadar
Pipilo erythrophthalmus,Eastern Towhee,kestenjastoboki strnadar
†Pipilo naufragus,Bermuda Towhee,bermudski strnadar
Pselliophorus tibialis,Yellow-thighed Finch,čađasti strnadar
Pselliophorus luteoventris,Yellow-green Finch,panamski strnadar
Atlapetes pileatus,Rufous-capped Brush-finch,cimetastokapi strnadar
Atlapetes meridae,Merida Brush-finch,meridski strnadar
Atlapetes albofrenatus,Moustached Brush-finch,limunastotrbi strnadar
Atlapetes semirufus,Ochre-breasted Brush-finch,cimetastoprsi strnadar
Atlapetes personatus,Tepui Brush-finch,tepujski strnadar
Atlapetes albinucha,White-naped Brush-finch,bjelokapi strnadar
Atlapetes melanocephalus,Santa Marta Brush-finch,strnadar cvrčić
Atlapetes pallidinucha,Pale-naped Brush-finch,žutoprsi strnadar
Atlapetes flaviceps,Yellow-headed Brush-finch,tolimski strnadar
Atlapetes fuscoolivaceus,Dusky-headed Brush-finch,žutogrli strnadar
Atlapetes crassus,Choco Brush-finch,čokoski strnadar
Atlapetes tricolor,Tricolored Brush-finch,maslinastoboki strnadar
Atlapetes leucopis,White-rimmed Brush-finch,maslinastotrbi strnadar
Atlapetes nigrifrons,Black-fronted Brush-finch,crnočeli strnadar
Atlapetes latinuchus,Yellow-breasted Brush-finch,crnokrili strnadar
Atlapetes blancae,Antioquia Brush-finch,antiokvijski strnadar
Atlapetes rufigenis,Rufous-eared Brush-finch,riđoglavi strnadar
Atlapetes forbesi,Apurimac Brush-finch,apurimački strnadar
Atlapetes melanopsis,Black-spectacled Brush-finch,huninski strnadar
Atlapetes schistaceus,Slaty Brush-finch,olovasti strnadar
Atlapetes taczanowskii,Taczanowski's Brush-finch,olovastoleđi strnadar
Atlapetes leucopterus,White-winged Brush-finch,ekvadorski strnadar
Atlapetes paynteri,Cream-crowned Brush-finch,srebrnastotrbi strnadar
Atlapetes albiceps,White-headed Brush-finch,bjelolici strnadar
Atlapetes pallidiceps,Pale-headed Brush-finch,bjeloglavi strnadar
Atlapetes seebohmi,Bay-crowned Brush-finch,sivi strnadar
Atlapetes nationi,Rusty-bellied Brush-finch,riđotrbi strnadar
Atlapetes canigenis,Cuzco Brush-finch,kuskoanski strnadar
Atlapetes terborghi,Vilcabamba Brush-finch,crnouhi strnadar
Atlapetes melanolaemus,Black-faced Brush-finch,ljuskastoprsi strnadar
Atlapetes rufinucha,Bolivian Brush-finch,bolivijski strnadar
Atlapetes fulviceps,Fulvous-headed Brush-finch,cimetastoglavi strnadar
Atlapetes citrinellus,Yellow-striped Brush-finch,tukumanski strnadar
Pezopetes capitalis,Large-footed Finch,zlatni strnadar
Torreornis inexpectata,Zapata Sparrow,kubanski strnadar
Melozone kieneri,Rusty-crowned Ground-sparrow,kestenjastovrati strnadar
Melozone fusca,Canyon Towhee,strnadar kamenjar
Melozone albicollis,White-throated Towhee,cimetastobradi strnadar
Melozone crissalis,California Towhee,pepeljasti strnadar
Melozone alberti,Albert's Towhee,crnobradi strnadar
Melozone biarcuata,Prevost's Ground-sparrow,riđouhi strnadar
Melozone cabanisi,Costa Rican Ground-sparrow,kestenjastouhi strnadar
Melozone occipitalis,Grey-crowned Ground-sparrow,pacifički strnadar
Melozone leucotis,White-eared Ground-sparrow,bjelouhi strnadar
Aimophila rufescens,Rusty Sparrow,hrđasti strnadar
Aimophila ruficeps,Rufous-crowned Sparrow,rusokapi strnadar
Aimophila notosticta,Oaxaca Sparrow,oaksački strnadar
Junco vulcani,Volcano Junco,vulkanski strnadar
Junco hyemalis,Dark-eyed Junco,sivoglavi strnadar
Junco insularis,Guadalupe Junco,gvadalupski strnadar
Junco phaeonotus,Yellow-eyed Junco,žutooki strnadar
Junco bairdi,Baird's Junco,svjetlooki strnadar
Zonotrichia capensis,Rufous-collared Sparrow,riđovrati strnadar
Zonotrichia querula,Harris's Sparrow,crnokapi strnadar
Zonotrichia albicollis,White-throated Sparrow,bjelogrli strnadar
Zonotrichia leucophrys,White-crowned Sparrow,bjelokruni strnadar
Zonotrichia atricapilla,Golden-crowned Sparrow,žutokapi strnadar
Passerella iliaca,Red Fox-sparrow,riđi strnadar
Passerella unalaschcensis,Sooty Fox-sparrow,johin strnadar
Passerella schistacea,Slate-colored Fox-sparrow,sivoleđi strnadar
Passerella megarhyncha,Thick-billed Fox-sparrow,debelokljuni strnadar
Passerella arborea,American Tree Sparrow,šumski strnadar
Ammospiza leconteii,Le Conte's Sparrow,crnoprugasti strnadar
Ammospiza maritima,Seaside Sparrow,obalni strnadar
Ammospiza nelsoni,Nelson's Sparrow,trnorepi strnadar
Ammospiza caudacuta,Saltmarsh Sparrow,iglorepi strnadar
Artemisiospiza nevadensis,Sagebrush Sparrow,sivosmeđi strnadar
Artemisiospiza belli,Bell's Sparrow,smeđokrili strnadar
Pooecetes gramineus,Vesper Sparrow,prugastoprsi strnadar
Oriturus superciliosus,Striped Sparrow,meksički strnadar
Passerculus sandwichensis,Savannah Sparrow,prerijski strnadar
Passerculus guttatus,Belding's Sparrow,kalifornijski strnadar
Passerculus sanctorum,San Benito Sparrow,strnadar pješčar
Passerculus rostratus,Large-billed Sparrow,strnadar slanušar
Passerculus bairdii,Baird's Sparrow,bjelotrbi strnadar
Passerculus henslowii,Henslow's Sparrow,smeđoleđi strnadar
Xenospiza baileyi,Sierra Madre Sparrow,kratkokrili strnadar
Melospiza melodia,Song Sparrow,strnadar pjevač
Melospiza lincolni,Lincoln's Sparrow,sivolici strnadar
Melospiza georgiana,Swamp Sparrow,močvarni strnadar
ZELEDONIIDAE,Wrenthrush,kratkorepa sjeničica
Zeledonia coronata,Wrenthrush,kratkorepa sjeničica
TERETISTRIDAE,Cuban Warblers,kubanske sjeničice
Teretistris fernandinae,Yellow-headed Warbler,zapadnokubanska sjeničica
Teretistris fornsi,Oriente Warbler,kubanska sjeničica
ICTERIDAE,New World Blackbirds,vranjci
Icteria virens,Yellow-breasted Chat,žutoprsi vranjak
Xanthocephalus xantocephalus,Yellow-headed Blackbird,zlatnoglavi vranjak
Dolichonyx oryzivorus,Bobolink,livadni vranjak
Sturnella neglecta,Western Meadowlark,pjegavi vranjak
Sturnella magna,Eastern Meadowlark,žuti vranjak
S.m. liliane,Lilian's Meadowlark,pustinjski vranjak
Leistes militaris,Red-breasted Blackbird,crvenoprsi vranjak
Leistes superciliaris,White-browed Blackbird,obrvasti vranjak
Leistes bellicosus,Peruvian Meadowlark,grimiznoprsi vranjak
Leistes defilippii,Pampas Meadowlark,pampaski vranjak
Leistes loyca,Long-tailed Meadowlark,grimiznotrbi vranjak
Amblycercus holosericeus,Yellow-billed Cacique,žutokljuni vranjak
Cassiculus melanicterus,Yellow-winged Cacique,kukmasti vranjak
Psarocolius wagleri,Chestnut-headed Oropendola,kestenjastoglavi vranjak
Psarocolius atrovirens,Dusky-green Oropendola,maslinasti vranjak
Psarocolius angustifrons,Russet-backed Oropendola,smeđi vranjak
Psarocolius oleagineus,Green-billed Oropendola,maslinastoleđi vranjak
Psarocolius decumanus,Crested Oropendola,krunati vranjak
Psarocolius viridis,Green Oropendola,zeleni vranjak
Psarocolius yuracares,Amazonian Oropendola,amazonski vranjak
Psarocolius bifasciatus,Para Oropendola,paraski vranjak
Psarocolius montezuma,Montezuma Oropendola,astečki vranjak
Psarocolius guatimozinus,Black Oropendola,panamski vranjak
Psarocolius cassini,Baudo Oropendola,ružičastolici vranjak
Cacicus solitarius,Solitary Cacique,samotni vranjak
Cacicus chrysopterus,Golden-winged Cacique,zlatnokrili vranjak
Cacicus sclateri,Ecuadorian Cacique,ekvadorski vranjak
Cacicus koepckeae,Selva Cacique,peruanski vranjak
Cacicus microrhynchus,Scarlet-rumped Cacique,grimiznoleđi vranjak
Cacicus pacificus,Pacific Cacique,pacifički vranjak
Cacicus uropygialis,Subtropical Cacique,vranjak zviždar
Cacicus vitellinus,Black-tailed Cacique,zlatnoleđi vranjak
Cacicus cela,Yellow-rumped Cacique,žutoleđi vranjak
Cacicus leucoramphus,Northern Mountain Cacique,andski vranjak
Cacicus chrysonotus,Southern Mountain Cacique,planinski vranjak
Cacicus haemorrhous,Red-rumped Cacique,crvenoleđi vranjak
Cacicus oseryi,Casqued Oropendola,kacigasti vranjak
Cacicus latirostris,Band-tailed Oropendola,smeđoglavi vranjak
Icterus parisorum,Scott's Oriole,crnoglavi vranjak
Icterus graduacauda,Audubon's Oriole,meksički vranjak
Icterus chrysater,Yellow-backed Oriole,crnolici vranjak
Icterus leucopteryx,Jamaican Oriole,jamajčki vranjak
Icterus auratus,Orange Oriole,jukatanski vranjak
Icterus gularis,Altamira Oriole,crnogrli vranjak
Icterus nigrogularus,Yellow Oriole,zlatni vranjak
Icterus galbula,Baltimore Oriole,narančasto-crni vranjak
Icterus albeillei,Black-backed Oriole,bjelokrili vranjak
Icterus bullockiorum,Bullock's Oriole,narančastoprsi vranjak
Icterus pustulatus,Streak-backed Oriole,prugastoleđi vranjak
Icterus mesomelas,Yellow-tailed Oriole,žutorepi vranjak
Icterus pectoralis,Spot-breasted Oriole,pjegavoprsi vranjak
Icterus graceannae,White-edged Oriole,tumbeski vranjak
Icterus jamacaii,Campo Troupial,brazilski vranjak
Icterus icterus,Venezuelan Troupial,narančastovrati vranjak
Icterus croconotus,Orange-backed Troupial,narančasti vranjak
Icterus maculialatus,Bar-winged Oriole,zlatnotrbi vranjak
Icterus wagleri,Black-vented Oriole,crnoleđi vranjak
Icterus cucullatus,Hooded Oriole,prugastokrili vranjak
Icterus prosthemelas,Black-cowled Oriole,crnoprsi vranjak
Icterus spurius,Orchard Oriole,kestenjastotrbi vranjak
Icterus fuertesi,Fuertes's Oriole,mali vranjak
Icterus northropi,Bahama Oriole,bahamski vranjak
Icterus melanopsis,Cuban Oriole,kubanski vranjak
Icterus bonana,Martinique Oriole,kestenjasti vranjak
Icterus portoricensis,Puerto Rican Oriole,portorički vranjak
Icterus oberi,Montserrat Oriole,monseratski vranjak
Icterus dominicensis,Hispaniolan Oriole,hispaniolski vranjak
Icterus laudabilis,St Lucia Oriole,narančastotrbi vranjak
Icterus auricapillus,Orange-crowned Oriole,narančastoglavi vranjak
Icterus chrysocephalus,Moriche Oriole,žutokapi vranjak
Icterus cayanensis,Epaulet Oriole,žutorameni vranjak
Icterus pyrrhopterus,Variable Oriole,kestenjastorameni vranjak
Nesopsar nigerrimus,Jamaican Blackbird,kratkorepi vranjak
Agelaius humeralis,Tawny-shouldered Blackbird,smeđokrili vranjak
Agelaius xanthomus,Yellow-shouldered Blackbird,žutokrili vranjak
Agelaius tricolor,Tricolored Blackbird,kalifornijski vranjak
Agelaius phoeniceus,Red-winged Blackbird,plamenokrili vranjak
Agelaius assimilis,Red-shouldered Blackbird,crvenokrili vranjak
Molothrus rufoaxillaris,Screaming Cowbird,crni čvorkaš
Molothrus oryzivorus,Giant Cowbird,veliki čvorkaš
Molothrus bonariensis,Shiny Cowbird,blistavi čvorkaš
Molothrus ater,Brown-headed Cowbird,smeđoglavi čvorkaš
Molothrus aeneus,Bronzed Cowbird,brončani čvorkaš
Molothrus armenti,Bronze-brown Cowbird,kolumbijski čvorkaš
Dives dives,Melodious Blackbird,vranjak pjevač
Dives warczewiczi,Scrub Blackbird,seoski vranjak
Ptiloxena atroviolacea,Cuban Blackbird,ljubičasti vranjak
Euphagus carolinus,Rusty Blackbird,kanadski vranjak
Euphagus cyanocephalus,Brewer's Blackbird,plavi vranjak
Quiscalus quiscula,Common Grackle,blistavi vranjak
Q. q. versicolor,Bronzed Grackle,brončani vranjak
Quiscalus lugubris,Carib Grackle,širokorepi vranjak
Quiscalus nicaraguensis,Nicaraguan Grackle,nikaragvanski vranjak
Quiscalus niger,Greater Antillean Grackle,antilski vranjak
Quiscalus major,Boat-tailed Grackle,dugorepi vranjak
Quiscalus mexicanus,Great-tailed Grackle,lepezastorepi vranjak
†Quiscalus palustris,Slender-billed Grackle,tankokljuni vranjak
Lampropsar tanagrinus,Velvet-fronted Grackle,crni vranjak
Hypopyrrhus pyrohypogaster,Red-bellied Grackle,crvenotrbi vranjak
Gymnomystax mexicanus,Oriole Blackbird,žutotrbi vranjak
Macroagelaius subalaris,Mountain Grackle,kolumbijski vranjak
Macroagelaius imthurni,Golden-tufted Grackle,tepujski vranjak
Amblyramphus holosericeus,Scarlet-headed Blackbird,crvenoglavi vranjak
Curaeus curaeus,Austral Blackbird,patagonski vranjak
Curaeus forbesi,Forbes's Blackbird,mrki vranjak
Gnorimopsar chopi,Chopi Blackbird,kudravi vranjak
Agelaioides badius,Greyish Baywing,riđokrili vranjak
Agelaioides fringillarius,Pale Baywing,crnouhi vranjak
Oreopsar bolivianus,Bolivian Blackbird,bolivijski vranjak
Agelasticus thilius,Yellow-winged Blackbird,vranjak rogožar
Agelasticus cyanopus,Unicolored Blackbird,močvarni vranjak
Agelasticus xanthophthalmus,Pale-eyed Blackbird,bjelooki vranjak
Chrysomus icterocephalus,Yellow-hooded Blackbird,žutoglavi vranjak
Chrysomus ruficapillus,Chestnut-capped Blackbird,kestenjastolapi vranjak
Xanthopsar flavus,Saffron-cowled Blackbird,zlatnoprsi vranjak
Pseudoleistes guirahuro,Yellow-rumped Marshbird,smeđoleđi vranjak
Pseudoleistes virescens,Brown-and yellow Marshbird,smeđoboki vranjak
PARULIDAE,New World Warblers,sjeničice
Seiurus aurocapilla,Ovenbird,zlatnokruna sjeničica
Helmitheros vermivorum,Worm-eating Warbler,prugastoglava sjeničica
Parkesia motacilla,Louisiana Waterthrush,potočna sjeničica
Parkesia noveboracensis,Northern Waterthrush,drozdolika sjeničica
Vermivora bachmanii,Bachman's Warbler,maslinasta sjeničica
Vermivora chrysoptera,Golden-winged Warbler,zlatnokrila sjeničica
Vermivora cyanoptera,Blue-winged Warbler,plavokrila sjeničica
Mniotilta varia,Black-and-white Warbler,prugasta sjeničica
Protonotaria citrea,Prothonotary Warbler,zlatnoglava sjeničica
Limnothlypis swainsonii,Swainson's Warbler,smeđa sjeničica
Oreothlypis superciliosa,Crescent-chested Warbler,sivokrila sjeničica
Oreothlypis gutturalis,Flame-throated Warbler,plamenogrla sjeničica
Leiothlypis peregrina,Tennessee Warbler,sivoglava sjeničica
Leiothlypis celata,Orange-crowned Warbler,narančastokapa sjeničica
Leiothlypis crissalis,Colima Warbler,meksička sjeničica
Leiothlypis luciae,Lucy's Warbler,kestenjastokapa sjeničica
Leiothlypis ruficapilla,Nashville Warbler,riđokapa sjeničica
Leiothlypis virginiae,Virginia's Warbler,siva sjeničica
Leucopeza semperi,Semper's Warbler,pepeljasta sjeničica
Oporornis agilis,Connecticut Warbler,pozemna sjeničica
Geothlypis poliocephala,Grey-crowned Yellowthroat,sivokapa sjeničica
Geothlypis chiriquensis,Chiriqui Yellowthroat,vulkanska sjeničica
Geothlypis auricularis,Black-lored Yellowthroat,pacifička sjeničica
Geothlypis aequinoctialis,Masked Yellowthroat,sivočela sjeničica
Geothlypis tolmiei,MacGillvray's Warbler,olovastoglava sjeničica
Geothlypis philadelphia,Mourning Warbler,crnoprsa sjeničica
Geothlypis formosa,Kentucky Warbler,maslinastoleđa sjeničica
Geothlypis bairdi,Baird's Warbler,čegrtava sjeničica
Geothlypis semiflava,Olive-crowned Yellowthroat,travnjačka sjeničica
Geothlypis speciosa,Black-polled Yellowthroat,crnočela sjeničica
Geothlypis beldingi,Belding's Yellowthroat,kalifornijska sjeničica
Geothlypis rostrata,Bahama Yellowthroat,bahamska sjeničica
Geothlypis flavovelata,Altamira Yellowthroat,močvarna sjeničica
Geothlypis trichas,Common Yellowthroat,crnolica sjeničica
Geothlypis nelsoni,Hooded Yellowthroat,kaktusova sjeničica
Catharopeza bishopi,Whistling Warbler,ogrličasta sjeničica
Setophaga plumbea,Plumbeous Warbler,olovasta sjeničica
Setophaga angelae,Elfin Woods Warbler,prugastoprsa sjeničica
Setophaga pharetra,Arrowhead Warbler,jamajčka sjeničica
Setophaga citrina,Hooded Warbler,crnovrata sjeničica
Setophaga ruticilla,American Redstart,crna sjeničica
Setophaga kirtlandii,Kirtland's Warbler,pjegavoleđa sjeničica
Setophaga tigrina,Cape May Warbler,riđolica sjeničica
Setophaga cerulea,Cerulean Warbler,plavoleđa sjeničica
Setophaga americana,Northern Parula,plava sjeničica
Setophaga pitiayumi,Tropical Parula,plamenoprsa sjeničica
Setophaga graysoni,Socorro Parula,sokorska sjeničica
Setophaga magnolia,Magnolia Warbler,žutogrla sjeničica
Setophaga castanea,Bay-breasted Warbler,kestenjastoprsa sjeničica
Setophaga fusca,Blackburnian Warbler,narančastogrla sjeničica
Setophaga petechia,American Yellow Warbler,žuta sjeničica
S. p. petechia,Golden Warbler,zlatna sjeničica
S. p. erithachorides,Mangrove Warbler,mangrovska sjeničica
Setophaga pensylvanica,Chestnut-sided Warbler,kestenjastoboka sjeničica
Setophaga striata,Blackpoll Warbler,crnoglava sjeničica
Setophaga caerulescens,Black-throated Blue Warbler,crnoboka sjeničica
Setophaga palmarum,Palm Warbler,crvenokapa sjeničica
Setophaga pityophila,Olive-capped Warbler,maslinastokapa sjeničica
Setophaga pinus,Pine Warbler,borova sjeničica
Setophaga auduboni,Audubon's Warbler,zlatnogrla sjeničica
Setophaga coronata,Myrtle Warbler,zlatnokapa sjeničica
Setophaga dominica,Yellow-throated Warbler,dugokljuna sjeničica
Setophaga flavescens,Bahama Warbler,smeđokapa sjeničica
Setophaga vitellina,Vitelline Warbler,karipska sjeničica
Setophaga discolor,Prairie Warbler,prerijska sjeničica
Setophaga adelaidae,Adelaide's Warbler,portorička sjeničica
Setophaga subita,Barbuda Warbler,barbudska sjeničica
Setophaga delicata,St Lucia Warbler,antilska sjeničica
Setophaga graciae,Grace's Warbler,sivoleđa sjeničica
Setophaga nigrescens,Black-throated Grey Warbler,prugastoboka sjeničica
Setophaga townsendi,Townsend's Warbler,crnouha sjeničica
Setophaga occidentalis,Hermit Warbler,zlatnolica sjeničica
Setophaga chrysoparia,Golden-cheeked Warbler,žutolica sjeničica
Setophaga virens,Black-throated Green Warbler,crnogrla sjeničica
Myiothlypis luteoviridis,Northern Citrine Warbler,maslinasto-žuta sjeničica
Myiothlypis striaticeps,Peruvian Citrine Warbler,peruanska sjeničica
Myiothlypis euophrys,Bolivian Citrine Warbler,bolivijska sjeničica
Myiothlypis basilica,Santa Marta Warbler,limunastotrba sjeničica
Myiothlypis leucophrys,White-striped Warbler,brazilska sjeničica
Myiothlypis flaveola,Flavescent Warbler,zelenoleđa sjeničica
Myiothlypis leucoblephara,White-rimmed Warbler,bjelogrla sjeničica
Myiothlypis signata,Pale-legged Warbler,limunasta sjeničica
Myiothlypis nigrocristata,Black-crested Warbler,žutotrba sjeničica
Myiothlypis fulvicauda,Buff-rumped Warbler,smeđoleđa sjeničica
Myiothlypis mesoleuca,Northern Riverbank Warbler,pepeljastokapa sjeničica
Myiothlypis rivularis,Southern Riverbank Warbler,riječna sjeničica
Myiothlypis roraime,Roraiman Warbler,roraimska sjeničica
Myiothlypis bivittata,Two-banded Warbler,prugastokapa sjeničica
Myiothlypis chlorophrys,Choco Warbler,čokoska sjeničica
Myiothlypis chrysogaster,Golden-bellied Warbler,gorska sjeničica
Myiothlypis conspicillata,White-lored Warbler,kolumbijska sjeničica
Myiothlypis cinereicollis,Grey-throated Warbler,žutokapa sjeničica
Myiothlypis fraseri,Grey-and-gold Warbler,gvajakvilska sjeničica
Myiothlypis coronatus,Russet-crowned Warbler,srebrnastogrla sjeničica
Basileuterus lachrymosus,Fan-tailed Warbler,lepezastorepa sjeničica
Basileuterus rufifrons,Rufous capped Warbler,riđoglava sjeničica
Basileuterus melanogenys,Black-cheeked Warbler,panamska sjeničica
Basileuterus ignotus,Pirre Warbler,maslinastoprsa sjeničica
Basileuterus belli,Golden-browed Warbler,riđouha sjeničica
Basileuterus culicivorus,Stripe-crowned Warbler,plamenokapa sjeničica
Basileuterus cabanisi,Yellow-crowned Warbler,pepeljastoleđa sjeničica
Basileuterus auricapila,Golden-crowned Warbler,žutokruna sjeničica
Basileuterus hypoleucus,White-bellied Warbler,bjeloprsa sjeničica
Basileuterus trifasciatus,Three-banded Warbler,sivolica sjeničica
Basileuterus tristriatus,Three-striped Warbler,crnoprugasta sjeničica
Basileuterus griseiceps,Grey-headed Warbler,maslinastokrila sjeničica
Cardellina canadensis,Canada Warbler,kanadska sjeničica
Cardellina pusilla,Wilson's Warbler,crnokapa sjeničica
Cardellina rubrifrons,Red-faced Warbler,crvenolica sjeničica
Cardellina rubra,Red Warbler,crvena sjeničica
Cardellina versicolor,Pink-headed Warbler,ružičastoglava sjeničica
Myioborus pictus,Painted Whitestart,crvenoprsa sjeničica
Myioborus miniatus,Slate-throated Whitestart,crvenotrba sjeničica
Myioborus brunniceps,Brown-capped Whitestart,andska sjeničica
Myioborus flavivertex,Yellow-crowned Whitestart,santamartska sjeničica
Myioborus albifrons,White-fronted Whitestart,venezuelska sjeničica
Myioborus chrysops,Golden-fronted Whitestart,zlatnočela sjeničica
Myioborus ornatus,Yellow-fronted Whitestart,žutočela sjeničica
Myioborus melanocephalus,Spectacled Whitestart,planinska sjeničica
Myioborus torquatus,Collared Whitestart,krunata sjeničica
Myioborus pariae,Yellow-faced Whitestart,parijska sjeničica
Myioborus albifacies,White-faced Whitestart,bjelolica sjeničica
Myioborus cardonai,Guaiquinima Whitestart,bolivarska sjeničica
Myioborus castaneocapilla,Tepui Whitestart,tepujska sjeničica
PHAENICOPHILIDAE,Hispaniolan Tanagers,hispaniolske tangare
