Latin,English,Croatian
Lophornis ornatus,Tufted Coquette,bumbar1346
Lophornis gouldii,Dot-eared Coquette,bumbar1347
Lophornis magnificus,Frilled Coquette,bumbar1348
Lophornis brachylophus,Short-crested Coquette,bumbar1349
Lophornis delattrei,Rufous-crested Coquette,bumbar1350
Lophornis stictolophus,Spangled Coquette,bumbar1351
Lophornis chalybeus,Festive Coquette,bumbar1352
Lophornis verreauxi,Butterfly Coquette,bumbar1353
Lophornis pavoninus,Peacock Coquette,bumbar1354
Lophornis helenae,Black-crested Coquette,bumbar1355
Lophornis adorabilis,White-crested Coquette,bumbar1356
Phlogophilus hemileucurus,Ecuadorian Piedtail,bumbar1357
Phlogophilus harterti,Peruvian Piedtail,bumbar1358
Adelomyia melanogenys,Speckled Hummingbird,bumbar1359
Aglaiocercus kingi,Long-tailed Sylph,bumbar1360
Aglaiocercus coelestis,Violet-tailed Sylph,bumbar1361
Aglaiocercus berlepschi,Venezuelan Sylph,bumbar1362
Sappho sparganurus,Red-tailed Comet,bumbar1363
Taphrolesbia griseiventris,Grey-bellied Comet,bumbar1364
Polyonymus caroli,Bronze-tailed Comet,bumbar1365
Oreotrochilus chimborazo,Ecuadorian Hillstar,bumbar1366
Oreotrochilus estella,Andean Hillstar,bumbar1367
Oreotrochilus stolzmanni,Green-headed Hillstar,bumbar1368
Oreotrochilus leucopleurus,White-sided Hillstar,bumbar1369
Oreotrochilus melanogaster,Black-breasted Hillstar,bumbar1370
Oreotrochilus adela,Wedge-tailed Hillstar,bumbar1371
Opisthoprora euryptera,Mountain Avocetbill,bumbar1372
Lesbia victoriae,Black-tailed Trainbearer,bumbar1373
Lesbia nuna,Green-tailed Trainbearer,bumbar1374
Ramphomicron dorsale,Black-backed Thornbill,bumbar1375
Ramphomicron microrhynchum,Purple-backed Thornbill,bumbar1376
Chalcostigma ruficeps,Rufous-capped Thornbill,bumbar1377
Chalcostigma olivaceum,Olivaceous Thornbill,bumbar1378
Chalcostigma stanleyi,Blue-mantled Thornbill,bumbar1379
Chalcostigma heteropogon,Bronze-tailed Thornbill,bumbar1380
Chalcostigma herrani,Rainbow-bearded Thornbill,bumbar1381
Oxypogon cyanolaemus,Blue-bearded Helmetcrest,bumbar1382
Oxypogon lindenii,White-bearded Helmetcrest,bumbar1383
Oxypogon guerinii,Green-bearded Helmetcrest,bumbar1384
Oxypogon stuebelii,Buffy Helmetcrest,bumbar1385
Oreonympha albolimbata,Western Mountaineer,bumbar1386
Oreonympha nobilis,Eastern Mountaineer,bumbar1387
Metallura iracunda,Perija Metaltail,bumbar1388
Metallura tyrianthina,Tyrian Metaltail,bumbar1389
Metallura williami,Viridian Metaltail,bumbar1390
Metallura baroni,Violet-throated Metaltail,bumbar1391
Metallura odomae,Neblina Metaltail,bumbar1392
Metallura theresiae,Coppery Metaltail,bumbar1393
Metallura eupogon,Fire-throated Metaltail,bumbar1394
